"Step","eager-universe-7 - Smallest CBF constraint(unfiltered)","eager-universe-7 - Smallest CBF constraint(unfiltered)__MIN","eager-universe-7 - Smallest CBF constraint(unfiltered)__MAX"
"0","0","0","0"
"2","-0.703845739364624","-0.703845739364624","-0.703845739364624"
"4","-0.98746657371521","-0.98746657371521","-0.98746657371521"
"6","-0.9826430082321167","-0.9826430082321167","-0.9826430082321167"
"8","-1.2491919994354248","-1.2491919994354248","-1.2491919994354248"
"10","-0.7051990628242493","-0.7051990628242493","-0.7051990628242493"
"12","-0.8449393510818481","-0.8449393510818481","-0.8449393510818481"
"14","-1.1054952144622803","-1.1054952144622803","-1.1054952144622803"
"16","-1.3710603713989258","-1.3710603713989258","-1.3710603713989258"
"18","-1.0717620849609375","-1.0717620849609375","-1.0717620849609375"
"20","-1.541226863861084","-1.541226863861084","-1.541226863861084"
"22","-0.6978111863136292","-0.6978111863136292","-0.6978111863136292"
"24","-1.5637366771697998","-1.5637366771697998","-1.5637366771697998"
"26","-1.1996548175811768","-1.1996548175811768","-1.1996548175811768"
"28","-0.8355265855789185","-0.8355265855789185","-0.8355265855789185"
"30","-0.9902669191360474","-0.9902669191360474","-0.9902669191360474"
"32","-1.4581589698791504","-1.4581589698791504","-1.4581589698791504"
"34","-1.6616657972335815","-1.6616657972335815","-1.6616657972335815"
"36","-1.7779738903045654","-1.7779738903045654","-1.7779738903045654"
"38","-1.4347834587097168","-1.4347834587097168","-1.4347834587097168"
"40","-1.2167710065841675","-1.2167710065841675","-1.2167710065841675"
"42","-0.9944987297058105","-0.9944987297058105","-0.9944987297058105"
"44","-1.805243730545044","-1.805243730545044","-1.805243730545044"
"46","-1.2237101793289185","-1.2237101793289185","-1.2237101793289185"
"48","-1.038386583328247","-1.038386583328247","-1.038386583328247"
"50","-1.807468056678772","-1.807468056678772","-1.807468056678772"
"52","-1.755143642425537","-1.755143642425537","-1.755143642425537"
"54","-1.563147783279419","-1.563147783279419","-1.563147783279419"
"56","-1.255580186843872","-1.255580186843872","-1.255580186843872"
"58","-0.9037147164344788","-0.9037147164344788","-0.9037147164344788"
"60","-1.7144031524658203","-1.7144031524658203","-1.7144031524658203"
"62","-1.2597309350967407","-1.2597309350967407","-1.2597309350967407"
"64","-1.4488784074783325","-1.4488784074783325","-1.4488784074783325"
"66","-1.589490532875061","-1.589490532875061","-1.589490532875061"
"68","-1.0345757007598877","-1.0345757007598877","-1.0345757007598877"
"70","-1.5983178615570068","-1.5983178615570068","-1.5983178615570068"
"72","-0.8023583889007568","-0.8023583889007568","-0.8023583889007568"
"74","-1.506083607673645","-1.506083607673645","-1.506083607673645"
"76","-2.0148544311523438","-2.0148544311523438","-2.0148544311523438"
"78","-1.3741459846496582","-1.3741459846496582","-1.3741459846496582"
"80","-1.4089176654815674","-1.4089176654815674","-1.4089176654815674"
"82","-1.197616696357727","-1.197616696357727","-1.197616696357727"
"84","-1.7674463987350464","-1.7674463987350464","-1.7674463987350464"
"86","-1.4086542129516602","-1.4086542129516602","-1.4086542129516602"
"88","-1.1410306692123413","-1.1410306692123413","-1.1410306692123413"
"90","-1.3616377115249634","-1.3616377115249634","-1.3616377115249634"
"92","-1.7654685974121094","-1.7654685974121094","-1.7654685974121094"
"94","-1.0645192861557007","-1.0645192861557007","-1.0645192861557007"
"96","-1.20090651512146","-1.20090651512146","-1.20090651512146"
"98","-1.1609539985656738","-1.1609539985656738","-1.1609539985656738"
"100","-1.2959829568862915","-1.2959829568862915","-1.2959829568862915"
"102","-1.4484562873840332","-1.4484562873840332","-1.4484562873840332"
"104","-1.5530182123184204","-1.5530182123184204","-1.5530182123184204"
"106","-1.676073670387268","-1.676073670387268","-1.676073670387268"
"108","-1.3751823902130127","-1.3751823902130127","-1.3751823902130127"
"110","-1.7560781240463257","-1.7560781240463257","-1.7560781240463257"
"112","-1.2958385944366455","-1.2958385944366455","-1.2958385944366455"
"114","-1.5725312232971191","-1.5725312232971191","-1.5725312232971191"
"116","-0.8745481371879578","-0.8745481371879578","-0.8745481371879578"
"118","-1.65516197681427","-1.65516197681427","-1.65516197681427"
"120","-1.2186871767044067","-1.2186871767044067","-1.2186871767044067"
"122","-1.7746284008026123","-1.7746284008026123","-1.7746284008026123"
"124","-1.7676388025283813","-1.7676388025283813","-1.7676388025283813"
"126","-1.2091971635818481","-1.2091971635818481","-1.2091971635818481"
"128","-0.8350573182106018","-0.8350573182106018","-0.8350573182106018"
"130","-1.3658791780471802","-1.3658791780471802","-1.3658791780471802"
"132","-1.2244422435760498","-1.2244422435760498","-1.2244422435760498"
"134","-1.1226048469543457","-1.1226048469543457","-1.1226048469543457"
"136","-1.1100726127624512","-1.1100726127624512","-1.1100726127624512"
"138","-1.804550290107727","-1.804550290107727","-1.804550290107727"
"140","-1.2467929124832153","-1.2467929124832153","-1.2467929124832153"
"142","-1.2874009609222412","-1.2874009609222412","-1.2874009609222412"
"144","-1.5378042459487915","-1.5378042459487915","-1.5378042459487915"
"146","-1.3116382360458374","-1.3116382360458374","-1.3116382360458374"
"148","-1.80135977268219","-1.80135977268219","-1.80135977268219"
"150","-1.53591787815094","-1.53591787815094","-1.53591787815094"
"152","-1.2657177448272705","-1.2657177448272705","-1.2657177448272705"
"154","-1.6257573366165161","-1.6257573366165161","-1.6257573366165161"
"156","-1.183073878288269","-1.183073878288269","-1.183073878288269"
"158","-1.9072201251983643","-1.9072201251983643","-1.9072201251983643"
"160","-1.1775665283203125","-1.1775665283203125","-1.1775665283203125"
"162","-1.4752402305603027","-1.4752402305603027","-1.4752402305603027"
"164","-1.6018662452697754","-1.6018662452697754","-1.6018662452697754"
"166","-1.1077840328216553","-1.1077840328216553","-1.1077840328216553"
"168","-1.6574782133102417","-1.6574782133102417","-1.6574782133102417"
"170","-1.292172908782959","-1.292172908782959","-1.292172908782959"
"172","-1.7832084894180298","-1.7832084894180298","-1.7832084894180298"
"174","-1.4417345523834229","-1.4417345523834229","-1.4417345523834229"
"176","-1.6896342039108276","-1.6896342039108276","-1.6896342039108276"
"178","-1.214123010635376","-1.214123010635376","-1.214123010635376"
"180","-1.6571170091629028","-1.6571170091629028","-1.6571170091629028"
