"Step","eager-universe-7 - Smallest CBF value","eager-universe-7 - Smallest CBF value__MIN","eager-universe-7 - Smallest CBF value__MAX"
"4","0.2023714929819107","0.2023714929819107","0.2023714929819107"
"6","0.20277145504951477","0.20277145504951477","0.20277145504951477"
"10","0.1129288449883461","0.1129288449883461","0.1129288449883461"
"14","-0.07309889048337936","-0.07309889048337936","-0.07309889048337936"
"22","-0.23255214095115662","-0.23255214095115662","-0.23255214095115662"
"24","-0.21302220225334167","-0.21302220225334167","-0.21302220225334167"
"28","-0.28255999088287354","-0.28255999088287354","-0.28255999088287354"
"32","-0.22821412980556488","-0.22821412980556488","-0.22821412980556488"
"36","-0.2510000467300415","-0.2510000467300415","-0.2510000467300415"
"38","-0.23200048506259918","-0.23200048506259918","-0.23200048506259918"
"44","-0.25216370820999146","-0.25216370820999146","-0.25216370820999146"
"46","-0.2299315333366394","-0.2299315333366394","-0.2299315333366394"
"48","-0.2158406525850296","-0.2158406525850296","-0.2158406525850296"
"50","-0.2212493121623993","-0.2212493121623993","-0.2212493121623993"
"52","-0.313528835773468","-0.313528835773468","-0.313528835773468"
"56","-0.25273406505584717","-0.25273406505584717","-0.25273406505584717"
"58","-0.315189927816391","-0.315189927816391","-0.315189927816391"
"64","-0.2672954797744751","-0.2672954797744751","-0.2672954797744751"
"66","-0.27929040789604187","-0.27929040789604187","-0.27929040789604187"
"68","-0.33040744066238403","-0.33040744066238403","-0.33040744066238403"
"70","-0.2600546181201935","-0.2600546181201935","-0.2600546181201935"
"72","-0.23636050522327423","-0.23636050522327423","-0.23636050522327423"
"74","-0.2414795607328415","-0.2414795607328415","-0.2414795607328415"
"78","-0.18769611418247223","-0.18769611418247223","-0.18769611418247223"
"84","-0.28566378355026245","-0.28566378355026245","-0.28566378355026245"
"86","-0.3318798243999481","-0.3318798243999481","-0.3318798243999481"
"88","-0.23683461546897888","-0.23683461546897888","-0.23683461546897888"
"92","-0.19625549018383026","-0.19625549018383026","-0.19625549018383026"
"94","-0.2336885929107666","-0.2336885929107666","-0.2336885929107666"
"96","-0.23811043798923492","-0.23811043798923492","-0.23811043798923492"
"102","-0.25384649634361267","-0.25384649634361267","-0.25384649634361267"
"106","-0.244069442152977","-0.244069442152977","-0.244069442152977"
"116","-0.27645573019981384","-0.27645573019981384","-0.27645573019981384"
"118","-0.2113325446844101","-0.2113325446844101","-0.2113325446844101"
"120","-0.27275145053863525","-0.27275145053863525","-0.27275145053863525"
"122","-0.2756112515926361","-0.2756112515926361","-0.2756112515926361"
"124","-0.27633440494537354","-0.27633440494537354","-0.27633440494537354"
"128","-0.21410900354385376","-0.21410900354385376","-0.21410900354385376"
"130","-0.2363586127758026","-0.2363586127758026","-0.2363586127758026"
"132","-0.24124298989772797","-0.24124298989772797","-0.24124298989772797"
"136","-0.23417340219020844","-0.23417340219020844","-0.23417340219020844"
"140","-0.23953816294670105","-0.23953816294670105","-0.23953816294670105"
"142","-0.2570940852165222","-0.2570940852165222","-0.2570940852165222"
"150","-0.2899455726146698","-0.2899455726146698","-0.2899455726146698"
"152","-0.22640620172023773","-0.22640620172023773","-0.22640620172023773"
"154","-0.2773394286632538","-0.2773394286632538","-0.2773394286632538"
"158","-0.23935183882713318","-0.23935183882713318","-0.23935183882713318"
"160","-0.23547962307929993","-0.23547962307929993","-0.23547962307929993"
"162","-0.1919224113225937","-0.1919224113225937","-0.1919224113225937"
"164","-0.2763681411743164","-0.2763681411743164","-0.2763681411743164"
"166","-0.23629778623580933","-0.23629778623580933","-0.23629778623580933"
"168","-0.22598272562026978","-0.22598272562026978","-0.22598272562026978"
"170","-0.2433239370584488","-0.2433239370584488","-0.2433239370584488"
"174","-0.22249583899974823","-0.22249583899974823","-0.22249583899974823"
"180","-0.2789456248283386","-0.2789456248283386","-0.2789456248283386"
"184","-0.28301432728767395","-0.28301432728767395","-0.28301432728767395"
"186","-0.31985464692115784","-0.31985464692115784","-0.31985464692115784"
"190","-0.25489342212677","-0.25489342212677","-0.25489342212677"
"192","-0.3049142360687256","-0.3049142360687256","-0.3049142360687256"
"194","-0.2544424831867218","-0.2544424831867218","-0.2544424831867218"
"198","-0.20567822456359863","-0.20567822456359863","-0.20567822456359863"
"200","-0.2607904374599457","-0.2607904374599457","-0.2607904374599457"
"202","-0.24932385981082916","-0.24932385981082916","-0.24932385981082916"
"206","-0.2152816504240036","-0.2152816504240036","-0.2152816504240036"
"212","-0.272613525390625","-0.272613525390625","-0.272613525390625"
"214","-0.3104712963104248","-0.3104712963104248","-0.3104712963104248"
"216","-0.3460525572299957","-0.3460525572299957","-0.3460525572299957"
"222","-0.280017226934433","-0.280017226934433","-0.280017226934433"
"224","-0.24270491302013397","-0.24270491302013397","-0.24270491302013397"
"226","-0.22693315148353577","-0.22693315148353577","-0.22693315148353577"
"228","-0.24204666912555695","-0.24204666912555695","-0.24204666912555695"
"232","-0.25639471411705017","-0.25639471411705017","-0.25639471411705017"
"234","-0.2810478210449219","-0.2810478210449219","-0.2810478210449219"
"236","-0.21237812936306","-0.21237812936306","-0.21237812936306"
"238","-0.24001824855804443","-0.24001824855804443","-0.24001824855804443"
"242","-0.26617246866226196","-0.26617246866226196","-0.26617246866226196"
"246","-0.288562536239624","-0.288562536239624","-0.288562536239624"
"248","-0.3269077241420746","-0.3269077241420746","-0.3269077241420746"
"250","-0.23732833564281464","-0.23732833564281464","-0.23732833564281464"
"256","-0.2128739058971405","-0.2128739058971405","-0.2128739058971405"
"260","-0.23011817038059235","-0.23011817038059235","-0.23011817038059235"
"266","-0.2058056741952896","-0.2058056741952896","-0.2058056741952896"
