"Step","eager-universe-7 - step_crash","eager-universe-7 - step_crash__MIN","eager-universe-7 - step_crash__MAX"
"1","256","256","256"
"3","0","0","0"
"7","0","0","0"
"11","0","0","0"
"13","0","0","0"
"15","1","1","1"
"19","2","2","2"
"23","5","5","5"
"29","10","10","10"
"31","7","7","7"
"33","9","9","9"
"35","6","6","6"
"39","6","6","6"
"41","14","14","14"
"43","9","9","9"
"45","12","12","12"
"49","11","11","11"
"51","5","5","5"
"53","15","15","15"
"57","17","17","17"
"61","12","12","12"
"71","10","10","10"
"73","4","4","4"
"75","8","8","8"
"77","12","12","12"
"81","11","11","11"
"83","10","10","10"
"85","18","18","18"
"89","11","11","11"
"91","13","13","13"
"93","10","10","10"
"95","8","8","8"
"97","13","13","13"
"99","8","8","8"
"101","13","13","13"
"103","7","7","7"
"107","10","10","10"
"109","7","7","7"
"111","10","10","10"
"113","9","9","9"
"117","5","5","5"
"121","10","10","10"
"125","5","5","5"
"129","6","6","6"
"131","7","7","7"
"135","8","8","8"
"139","9","9","9"
"141","9","9","9"
"143","14","14","14"
"147","10","10","10"
"149","8","8","8"
"151","11","11","11"
"155","9","9","9"
"157","10","10","10"
"159","12","12","12"
"161","16","16","16"
"165","11","11","11"
"167","12","12","12"
"171","9","9","9"
"179","9","9","9"
"181","14","14","14"
"183","8","8","8"
"185","9","9","9"
"187","7","7","7"
"189","10","10","10"
"191","12","12","12"
"199","9","9","9"
"203","12","12","12"
"207","5","5","5"
"209","13","13","13"
"211","8","8","8"
"213","11","11","11"
"215","11","11","11"
"219","5","5","5"
"223","8","8","8"
"227","7","7","7"
"231","13","13","13"
"241","13","13","13"
"243","6","6","6"
"247","17","17","17"
"249","6","6","6"
"251","4","4","4"
"253","8","8","8"
"257","7","7","7"
"259","13","13","13"
"261","10","10","10"
"265","8","8","8"
"269","14","14","14"
"271","9","9","9"
"273","13","13","13"
"275","9","9","9"
"277","12","12","12"
"279","13","13","13"
"283","6","6","6"
"285","9","9","9"
"287","9","9","9"
"291","5","5","5"
"304","9","9","9"
"314","7","7","7"
"316","11","11","11"
"318","16","16","16"
"320","8","8","8"
"322","10","10","10"
"328","7","7","7"
"330","6","6","6"
"332","8","8","8"
"334","11","11","11"
"336","11","11","11"
"338","8","8","8"
"346","4","4","4"
"350","5","5","5"
"352","14","14","14"
"354","10","10","10"
"356","12","12","12"
"360","12","12","12"
"368","8","8","8"
"370","7","7","7"
"372","11","11","11"
"376","4","4","4"
"378","12","12","12"
"382","12","12","12"
"384","9","9","9"
"388","6","6","6"
"390","11","11","11"
"392","6","6","6"
"394","8","8","8"
"396","9","9","9"
"398","8","8","8"
"402","7","7","7"
"414","8","8","8"
"416","4","4","4"
"418","14","14","14"
"420","8","8","8"
"422","10","10","10"
