"Step","eager-universe-7 - rewards/step","eager-universe-7 - rewards/step__MIN","eager-universe-7 - rewards/step__MAX"
"297","-1141.881591796875","-1141.881591796875","-1141.881591796875"
"301","-1135.1495361328125","-1135.1495361328125","-1135.1495361328125"
"621","-1135.528564453125","-1135.528564453125","-1135.528564453125"
"625","-1102.8441162109375","-1102.8441162109375","-1102.8441162109375"
"917","-1079.71728515625","-1079.71728515625","-1079.71728515625"
"921","-1078.9595947265625","-1078.9595947265625","-1078.9595947265625"
"949","-1044.912841796875","-1044.912841796875","-1044.912841796875"
"1270","-1030.28759765625","-1030.28759765625","-1030.28759765625"
"1274","-950.2297973632812","-950.2297973632812","-950.2297973632812"
"1582","-949.1390380859375","-949.1390380859375","-949.1390380859375"
"1586","-945.8988647460938","-945.8988647460938","-945.8988647460938"
"1595","-847.65966796875","-847.65966796875","-847.65966796875"
"1911","-750.6297607421875","-750.6297607421875","-750.6297607421875"
"1915","-647.1593017578125","-647.1593017578125","-647.1593017578125"
"2227","-570.20849609375","-570.20849609375","-570.20849609375"
"2231","-448.2557373046875","-448.2557373046875","-448.2557373046875"
"2507","-280.7947692871094","-280.7947692871094","-280.7947692871094"
"2511","-241.49560546875","-241.49560546875","-241.49560546875"
"2557","-167.280029296875","-167.280029296875","-167.280029296875"
"2876","-176.21316528320312","-176.21316528320312","-176.21316528320312"
"2880","-151.78878784179688","-151.78878784179688","-151.78878784179688"
"3165","-163.0048370361328","-163.0048370361328","-163.0048370361328"
"3169","-142.42051696777344","-142.42051696777344","-142.42051696777344"
"3199","-143.03445434570312","-143.03445434570312","-143.03445434570312"
"3522","-138.4246063232422","-138.4246063232422","-138.4246063232422"
"3526","-167.52633666992188","-167.52633666992188","-167.52633666992188"
"3830","-161.23399353027344","-161.23399353027344","-161.23399353027344"
"3834","-165.82522583007812","-165.82522583007812","-165.82522583007812"
"3851","-145.81008911132812","-145.81008911132812","-145.81008911132812"
"4170","-146.3507537841797","-146.3507537841797","-146.3507537841797"
"4174","-169.21934509277344","-169.21934509277344","-169.21934509277344"
"4489","-186.622802734375","-186.622802734375","-186.622802734375"
"4493","-235.85171508789062","-235.85171508789062","-235.85171508789062"
"4497","-198.73974609375","-198.73974609375","-198.73974609375"
"4816","-193.03030395507812","-193.03030395507812","-193.03030395507812"
"4820","-197.85292053222656","-197.85292053222656","-197.85292053222656"
"5138","-185.90248107910156","-185.90248107910156","-185.90248107910156"
"5142","-194.48736572265625","-194.48736572265625","-194.48736572265625"
"5414","-187.58094787597656","-187.58094787597656","-187.58094787597656"
"5418","-186.4215545654297","-186.4215545654297","-186.4215545654297"
"5467","-171.1197967529297","-171.1197967529297","-171.1197967529297"
"5786","-141.47824096679688","-141.47824096679688","-141.47824096679688"
"5790","-152.79428100585938","-152.79428100585938","-152.79428100585938"
"6077","-172.37071228027344","-172.37071228027344","-172.37071228027344"
"6081","-152.4846649169922","-152.4846649169922","-152.4846649169922"
"6120","-168.5164794921875","-168.5164794921875","-168.5164794921875"
"6438","-172.69937133789062","-172.69937133789062","-172.69937133789062"
"6442","-154.36520385742188","-154.36520385742188","-154.36520385742188"
"6737","-156.7528076171875","-156.7528076171875","-156.7528076171875"
"6741","-141.93948364257812","-141.93948364257812","-141.93948364257812"
"6767","-171.4237823486328","-171.4237823486328","-171.4237823486328"
"7085","-168.92587280273438","-168.92587280273438","-168.92587280273438"
"7089","-152.65127563476562","-152.65127563476562","-152.65127563476562"
"7396","-178.18264770507812","-178.18264770507812","-178.18264770507812"
"7400","-165.125244140625","-165.125244140625","-165.125244140625"
"7415","-183.00344848632812","-183.00344848632812","-183.00344848632812"
"7734","-155.36093139648438","-155.36093139648438","-155.36093139648438"
"7738","-146.01031494140625","-146.01031494140625","-146.01031494140625"
"8055","-142.8168182373047","-142.8168182373047","-142.8168182373047"
"8059","-80.09634399414062","-80.09634399414062","-80.09634399414062"
"8322","-74.43423461914062","-74.43423461914062","-74.43423461914062"
"8326","-133.01734924316406","-133.01734924316406","-133.01734924316406"
"8389","-128.0716552734375","-128.0716552734375","-128.0716552734375"
"8707","-128.12730407714844","-128.12730407714844","-128.12730407714844"
"8711","-70.63623046875","-70.63623046875","-70.63623046875"
"8984","-95.49012756347656","-95.49012756347656","-95.49012756347656"
"8988","-92.32231140136719","-92.32231140136719","-92.32231140136719"
"9034","-30.29270362854004","-30.29270362854004","-30.29270362854004"
"9352","-50.93659591674805","-50.93659591674805","-50.93659591674805"
"9356","-9.701793670654297","-9.701793670654297","-9.701793670654297"
"9645","-71.2170181274414","-71.2170181274414","-71.2170181274414"
"9649","-60.596561431884766","-60.596561431884766","-60.596561431884766"
"9679","-39.61077117919922","-39.61077117919922","-39.61077117919922"
"9998","-101.65457153320312","-101.65457153320312","-101.65457153320312"
"10002","-100.20348358154297","-100.20348358154297","-100.20348358154297"
"10304","-70.16175842285156","-70.16175842285156","-70.16175842285156"
"10308","-47.71355056762695","-47.71355056762695","-47.71355056762695"
"10328","-75.04944610595703","-75.04944610595703","-75.04944610595703"
"10647","-76.62246704101562","-76.62246704101562","-76.62246704101562"
"10651","-44.11810302734375","-44.11810302734375","-44.11810302734375"
"10968","-10.385098457336426","-10.385098457336426","-10.385098457336426"
"10972","-21.416576385498047","-21.416576385498047","-21.416576385498047"
"10982","-49.061405181884766","-49.061405181884766","-49.061405181884766"
"11297","-88.95277404785156","-88.95277404785156","-88.95277404785156"
"11301","-101.81736755371094","-101.81736755371094","-101.81736755371094"
"11620","-78.74876403808594","-78.74876403808594","-78.74876403808594"
"11624","-87.567138671875","-87.567138671875","-87.567138671875"
"11894","-90.92068481445312","-90.92068481445312","-90.92068481445312"
"11898","-13.793956756591797","-13.793956756591797","-13.793956756591797"
"11950","-21.75710105895996","-21.75710105895996","-21.75710105895996"
"12267","-44.437557220458984","-44.437557220458984","-44.437557220458984"
"12271","-52.8056526184082","-52.8056526184082","-52.8056526184082"
"12553","-17.178205490112305","-17.178205490112305","-17.178205490112305"
"12557","-29.68083953857422","-29.68083953857422","-29.68083953857422"
"12598","-2.1639208793640137","-2.1639208793640137","-2.1639208793640137"
"12917","13.31387710571289","13.31387710571289","13.31387710571289"
"12921","35.00603103637695","35.00603103637695","35.00603103637695"
"13217","93.26468658447266","93.26468658447266","93.26468658447266"
"13221","14.81775951385498","14.81775951385498","14.81775951385498"
"13251","36.16880416870117","36.16880416870117","36.16880416870117"
"13563","78.94142150878906","78.94142150878906","78.94142150878906"
"13567","74.68551635742188","74.68551635742188","74.68551635742188"
"13878","36.04411697387695","36.04411697387695","36.04411697387695"
"13883","23.595382690429688","23.595382690429688","23.595382690429688"
"13887","27.391874313354492","27.391874313354492","27.391874313354492"
"14204","3.01778244972229","3.01778244972229","3.01778244972229"
"14208","17.252553939819336","17.252553939819336","17.252553939819336"
"14526","83.54673767089844","83.54673767089844","83.54673767089844"
"14530","83.60202026367188","83.60202026367188","83.60202026367188"
"14803","18.90203285217285","18.90203285217285","18.90203285217285"
"14807","38.783546447753906","38.783546447753906","38.783546447753906"
"14855","54.36430358886719","54.36430358886719","54.36430358886719"
"15173","50.12403869628906","50.12403869628906","50.12403869628906"
"15177","45.16832733154297","45.16832733154297","45.16832733154297"
"15467","75.2293930053711","75.2293930053711","75.2293930053711"
"15471","118.1019287109375","118.1019287109375","118.1019287109375"
"15506","167.9398956298828","167.9398956298828","167.9398956298828"
"15822","180.47621154785156","180.47621154785156","180.47621154785156"
"15826","117.16635131835938","117.16635131835938","117.16635131835938"
"16126","173.9619903564453","173.9619903564453","173.9619903564453"
"16130","168.78057861328125","168.78057861328125","168.78057861328125"
"16153","148.20294189453125","148.20294189453125","148.20294189453125"
