"Step","eager-universe-7 - Success Rate","eager-universe-7 - Success Rate__MIN","eager-universe-7 - Success Rate__MAX"
"404","0","0","0"
"1254","0","0","0"
"3412","0","0","0"
"5870","0.012189175933599472","0.012189175933599472","0.012189175933599472"
"8338","0.03953148052096367","0.03953148052096367","0.03953148052096367"
"10728","0.13671875","0.13671875","0.13671875"
"13094","0.17081503570079803","0.17081503570079803","0.17081503570079803"
"15394","0.2607421875","0.2607421875","0.2607421875"
"17534","0.4423828125","0.4423828125","0.4423828125"
"19544","0.5771484375","0.5771484375","0.5771484375"
"21354","0.7374328970909119","0.7374328970909119","0.7374328970909119"
"23032","0.7977582812309265","0.7977582812309265","0.7977582812309265"
"24608","0.8853658437728882","0.8853658437728882","0.8853658437728882"
"26060","0.9258536696434021","0.9258536696434021","0.9258536696434021"
"27474","0.93115234375","0.93115234375","0.93115234375"
"28848","0.9492435455322266","0.9492435455322266","0.9492435455322266"
"30204","0.9487555027008057","0.9487555027008057","0.9487555027008057"
"31526","0.9600195288658142","0.9600195288658142","0.9600195288658142"
