"Step","resilient-blaze-9 - Smallest CBF constraint(unfiltered)","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MIN","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MAX"
"0","0","0","0"
"4","-0.5781525373458862","-0.5781525373458862","-0.5781525373458862"
"8","-0.8976207971572876","-0.8976207971572876","-0.8976207971572876"
"18","-1.0319712162017822","-1.0319712162017822","-1.0319712162017822"
"22","-1.2848469018936157","-1.2848469018936157","-1.2848469018936157"
"32","-1.3397719860076904","-1.3397719860076904","-1.3397719860076904"
"34","-1.4826821088790894","-1.4826821088790894","-1.4826821088790894"
"36","-1.391136884689331","-1.391136884689331","-1.391136884689331"
"40","-1.9303803443908691","-1.9303803443908691","-1.9303803443908691"
"42","-1.4258644580841064","-1.4258644580841064","-1.4258644580841064"
"48","-1.4616037607192993","-1.4616037607192993","-1.4616037607192993"
"50","-1.1484345197677612","-1.1484345197677612","-1.1484345197677612"
"54","-1.5302295684814453","-1.5302295684814453","-1.5302295684814453"
"56","-1.2197370529174805","-1.2197370529174805","-1.2197370529174805"
"64","-1.8462978601455688","-1.8462978601455688","-1.8462978601455688"
"68","-1.5009206533432007","-1.5009206533432007","-1.5009206533432007"
"76","-1.232301115989685","-1.232301115989685","-1.232301115989685"
"82","-1.472837209701538","-1.472837209701538","-1.472837209701538"
"90","-1.538001537322998","-1.538001537322998","-1.538001537322998"
"92","-1.1864560842514038","-1.1864560842514038","-1.1864560842514038"
"94","-1.1069376468658447","-1.1069376468658447","-1.1069376468658447"
"98","-1.0999423265457153","-1.0999423265457153","-1.0999423265457153"
"102","-1.304058313369751","-1.304058313369751","-1.304058313369751"
"106","-1.5018293857574463","-1.5018293857574463","-1.5018293857574463"
"108","-1.2579212188720703","-1.2579212188720703","-1.2579212188720703"
"110","-1.9959485530853271","-1.9959485530853271","-1.9959485530853271"
"112","-1.8271410465240479","-1.8271410465240479","-1.8271410465240479"
"114","-1.8116506338119507","-1.8116506338119507","-1.8116506338119507"
"120","-1.5959913730621338","-1.5959913730621338","-1.5959913730621338"
"124","-1.3704814910888672","-1.3704814910888672","-1.3704814910888672"
"130","-1.1760987043380737","-1.1760987043380737","-1.1760987043380737"
"132","-1.8175712823867798","-1.8175712823867798","-1.8175712823867798"
"136","-1.865922212600708","-1.865922212600708","-1.865922212600708"
"138","-1.8041242361068726","-1.8041242361068726","-1.8041242361068726"
"140","-1.4503363370895386","-1.4503363370895386","-1.4503363370895386"
"144","-1.5176795721054077","-1.5176795721054077","-1.5176795721054077"
"148","-1.6244837045669556","-1.6244837045669556","-1.6244837045669556"
"150","-1.5246193408966064","-1.5246193408966064","-1.5246193408966064"
"152","-1.2551558017730713","-1.2551558017730713","-1.2551558017730713"
"156","-1.6198101043701172","-1.6198101043701172","-1.6198101043701172"
"158","-1.663799524307251","-1.663799524307251","-1.663799524307251"
"160","-1.462711215019226","-1.462711215019226","-1.462711215019226"
"162","-1.0897754430770874","-1.0897754430770874","-1.0897754430770874"
"168","-1.1442328691482544","-1.1442328691482544","-1.1442328691482544"
"170","-1.8790570497512817","-1.8790570497512817","-1.8790570497512817"
"174","-1.40243399143219","-1.40243399143219","-1.40243399143219"
"176","-0.9646053910255432","-0.9646053910255432","-0.9646053910255432"
"180","-1.0948524475097656","-1.0948524475097656","-1.0948524475097656"
"184","-1.4881044626235962","-1.4881044626235962","-1.4881044626235962"
"186","-1.4847006797790527","-1.4847006797790527","-1.4847006797790527"
"194","-1.272576093673706","-1.272576093673706","-1.272576093673706"
"198","-1.2214248180389404","-1.2214248180389404","-1.2214248180389404"
"204","-1.4024736881256104","-1.4024736881256104","-1.4024736881256104"
"212","-1.9860475063323975","-1.9860475063323975","-1.9860475063323975"
"214","-1.4103004932403564","-1.4103004932403564","-1.4103004932403564"
"216","-1.4529556035995483","-1.4529556035995483","-1.4529556035995483"
"218","-1.0843324661254883","-1.0843324661254883","-1.0843324661254883"
"220","-1.722487449645996","-1.722487449645996","-1.722487449645996"
"224","-1.7044814825057983","-1.7044814825057983","-1.7044814825057983"
"230","-1.7792706489562988","-1.7792706489562988","-1.7792706489562988"
"232","-1.2478724718093872","-1.2478724718093872","-1.2478724718093872"
"238","-1.0238083600997925","-1.0238083600997925","-1.0238083600997925"
"242","-1.8434617519378662","-1.8434617519378662","-1.8434617519378662"
"244","-0.7365835905075073","-0.7365835905075073","-0.7365835905075073"
"248","-1.7212809324264526","-1.7212809324264526","-1.7212809324264526"
"250","-1.2703090906143188","-1.2703090906143188","-1.2703090906143188"
"252","-0.9377098083496094","-0.9377098083496094","-0.9377098083496094"
"254","-1.0785739421844482","-1.0785739421844482","-1.0785739421844482"
"264","-1.6043109893798828","-1.6043109893798828","-1.6043109893798828"
"266","-1.217786431312561","-1.217786431312561","-1.217786431312561"
"270","-1.3124370574951172","-1.3124370574951172","-1.3124370574951172"
"272","-1.0875089168548584","-1.0875089168548584","-1.0875089168548584"
"276","-1.1829116344451904","-1.1829116344451904","-1.1829116344451904"
"282","-1.5165303945541382","-1.5165303945541382","-1.5165303945541382"
"286","-1.3439290523529053","-1.3439290523529053","-1.3439290523529053"
"288","-1.4287716150283813","-1.4287716150283813","-1.4287716150283813"
