"Step","resilient-blaze-9 - Smallest CBF value","resilient-blaze-9 - Smallest CBF value__MIN","resilient-blaze-9 - Smallest CBF value__MAX"
"2","0.27213776111602783","0.27213776111602783","0.27213776111602783"
"4","0.21874932944774628","0.21874932944774628","0.21874932944774628"
"8","0.10711792856454849","0.10711792856454849","0.10711792856454849"
"10","0.017053650692105293","0.017053650692105293","0.017053650692105293"
"20","-0.27487894892692566","-0.27487894892692566","-0.27487894892692566"
"22","-0.2597963213920593","-0.2597963213920593","-0.2597963213920593"
"24","-0.28635063767433167","-0.28635063767433167","-0.28635063767433167"
"26","-0.23012375831604004","-0.23012375831604004","-0.23012375831604004"
"30","-0.24394647777080536","-0.24394647777080536","-0.24394647777080536"
"32","-0.26865923404693604","-0.26865923404693604","-0.26865923404693604"
"34","-0.3007812201976776","-0.3007812201976776","-0.3007812201976776"
"36","-0.32961833477020264","-0.32961833477020264","-0.32961833477020264"
"38","-0.3518819212913513","-0.3518819212913513","-0.3518819212913513"
"40","-0.3178544044494629","-0.3178544044494629","-0.3178544044494629"
"44","-0.25094690918922424","-0.25094690918922424","-0.25094690918922424"
"48","-0.31566131114959717","-0.31566131114959717","-0.31566131114959717"
"50","-0.34795787930488586","-0.34795787930488586","-0.34795787930488586"
"54","-0.2819470167160034","-0.2819470167160034","-0.2819470167160034"
"60","-0.30965811014175415","-0.30965811014175415","-0.30965811014175415"
"62","-0.29698044061660767","-0.29698044061660767","-0.29698044061660767"
"64","-0.3310404121875763","-0.3310404121875763","-0.3310404121875763"
"66","-0.2557941675186157","-0.2557941675186157","-0.2557941675186157"
"68","-0.3164692223072052","-0.3164692223072052","-0.3164692223072052"
"72","-0.24413838982582092","-0.24413838982582092","-0.24413838982582092"
"74","-0.3002094328403473","-0.3002094328403473","-0.3002094328403473"
"78","-0.297725111246109","-0.297725111246109","-0.297725111246109"
"80","-0.28706592321395874","-0.28706592321395874","-0.28706592321395874"
"82","-0.2964029908180237","-0.2964029908180237","-0.2964029908180237"
"84","-0.23187316954135895","-0.23187316954135895","-0.23187316954135895"
"90","-0.2966563403606415","-0.2966563403606415","-0.2966563403606415"
"96","-0.3395736515522003","-0.3395736515522003","-0.3395736515522003"
"98","-0.2864631116390228","-0.2864631116390228","-0.2864631116390228"
"100","-0.28391820192337036","-0.28391820192337036","-0.28391820192337036"
"114","-0.2534484565258026","-0.2534484565258026","-0.2534484565258026"
"120","-0.30197271704673767","-0.30197271704673767","-0.30197271704673767"
"122","-0.30560562014579773","-0.30560562014579773","-0.30560562014579773"
"128","-0.3058776259422302","-0.3058776259422302","-0.3058776259422302"
"130","-0.3191585838794708","-0.3191585838794708","-0.3191585838794708"
"132","-0.3282078206539154","-0.3282078206539154","-0.3282078206539154"
"136","-0.32432159781455994","-0.32432159781455994","-0.32432159781455994"
"138","-0.29852554202079773","-0.29852554202079773","-0.29852554202079773"
"142","-0.26413899660110474","-0.26413899660110474","-0.26413899660110474"
"150","-0.292105108499527","-0.292105108499527","-0.292105108499527"
"152","-0.3610392212867737","-0.3610392212867737","-0.3610392212867737"
"154","-0.29301717877388","-0.29301717877388","-0.29301717877388"
"156","-0.24297311902046204","-0.24297311902046204","-0.24297311902046204"
"158","-0.2227485179901123","-0.2227485179901123","-0.2227485179901123"
"160","-0.31233876943588257","-0.31233876943588257","-0.31233876943588257"
"170","-0.32727575302124023","-0.32727575302124023","-0.32727575302124023"
"174","-0.35094550251960754","-0.35094550251960754","-0.35094550251960754"
"176","-0.29141172766685486","-0.29141172766685486","-0.29141172766685486"
"178","-0.3231108486652374","-0.3231108486652374","-0.3231108486652374"
"180","-0.26983508467674255","-0.26983508467674255","-0.26983508467674255"
"186","-0.3200385272502899","-0.3200385272502899","-0.3200385272502899"
"190","-0.321904718875885","-0.321904718875885","-0.321904718875885"
"192","-0.30181053280830383","-0.30181053280830383","-0.30181053280830383"
"198","-0.22837872803211212","-0.22837872803211212","-0.22837872803211212"
"204","-0.2159513682126999","-0.2159513682126999","-0.2159513682126999"
"206","-0.3075656592845917","-0.3075656592845917","-0.3075656592845917"
"208","-0.29207536578178406","-0.29207536578178406","-0.29207536578178406"
"210","-0.28414255380630493","-0.28414255380630493","-0.28414255380630493"
"212","-0.3383488357067108","-0.3383488357067108","-0.3383488357067108"
"214","-0.31517064571380615","-0.31517064571380615","-0.31517064571380615"
"224","-0.31824061274528503","-0.31824061274528503","-0.31824061274528503"
"226","-0.3380376398563385","-0.3380376398563385","-0.3380376398563385"
"230","-0.3155451714992523","-0.3155451714992523","-0.3155451714992523"
"234","-0.2752763032913208","-0.2752763032913208","-0.2752763032913208"
"236","-0.32375162839889526","-0.32375162839889526","-0.32375162839889526"
"242","-0.2794063985347748","-0.2794063985347748","-0.2794063985347748"
"244","-0.28667575120925903","-0.28667575120925903","-0.28667575120925903"
"248","-0.3446389436721802","-0.3446389436721802","-0.3446389436721802"
"250","-0.2813928425312042","-0.2813928425312042","-0.2813928425312042"
"252","-0.3055725693702698","-0.3055725693702698","-0.3055725693702698"
"254","-0.3386707305908203","-0.3386707305908203","-0.3386707305908203"
"256","-0.26740869879722595","-0.26740869879722595","-0.26740869879722595"
"258","-0.26600614190101624","-0.26600614190101624","-0.26600614190101624"
"260","-0.3007447123527527","-0.3007447123527527","-0.3007447123527527"
"264","-0.2770266532897949","-0.2770266532897949","-0.2770266532897949"
"266","-0.3551813066005707","-0.3551813066005707","-0.3551813066005707"
"270","-0.3124212324619293","-0.3124212324619293","-0.3124212324619293"
"272","-0.3023223280906677","-0.3023223280906677","-0.3023223280906677"
"274","-0.33286601305007935","-0.33286601305007935","-0.33286601305007935"
"276","-0.36587101221084595","-0.36587101221084595","-0.36587101221084595"
"278","-0.30634742975234985","-0.30634742975234985","-0.30634742975234985"
"280","-0.3541487157344818","-0.3541487157344818","-0.3541487157344818"
"282","-0.28518199920654297","-0.28518199920654297","-0.28518199920654297"
"288","-0.2887953817844391","-0.2887953817844391","-0.2887953817844391"
"290","-0.34649619460105896","-0.34649619460105896","-0.34649619460105896"
"292","-0.31669968366622925","-0.31669968366622925","-0.31669968366622925"
"303","-0.26514875888824463","-0.26514875888824463","-0.26514875888824463"
"305","-0.32088473439216614","-0.32088473439216614","-0.32088473439216614"
"307","-0.269280344247818","-0.269280344247818","-0.269280344247818"
"309","-0.3177526891231537","-0.3177526891231537","-0.3177526891231537"
"311","-0.2752598226070404","-0.2752598226070404","-0.2752598226070404"
"313","-0.2674713730812073","-0.2674713730812073","-0.2674713730812073"
"315","-0.2221391797065735","-0.2221391797065735","-0.2221391797065735"
"317","-0.23438198864459991","-0.23438198864459991","-0.23438198864459991"
"319","-0.21792970597743988","-0.21792970597743988","-0.21792970597743988"
"323","-0.2628459632396698","-0.2628459632396698","-0.2628459632396698"
"325","-0.2571604549884796","-0.2571604549884796","-0.2571604549884796"
"327","-0.2746696472167969","-0.2746696472167969","-0.2746696472167969"
"329","-0.31535202264785767","-0.31535202264785767","-0.31535202264785767"
"331","-0.3422638773918152","-0.3422638773918152","-0.3422638773918152"
"333","-0.28688380122184753","-0.28688380122184753","-0.28688380122184753"
"337","-0.34923022985458374","-0.34923022985458374","-0.34923022985458374"
"341","-0.24737122654914856","-0.24737122654914856","-0.24737122654914856"
"343","-0.24383953213691711","-0.24383953213691711","-0.24383953213691711"
"345","-0.24362915754318237","-0.24362915754318237","-0.24362915754318237"
"351","-0.2517472505569458","-0.2517472505569458","-0.2517472505569458"
"359","-0.3266748785972595","-0.3266748785972595","-0.3266748785972595"
"367","-0.2650517523288727","-0.2650517523288727","-0.2650517523288727"
"369","-0.30558446049690247","-0.30558446049690247","-0.30558446049690247"
"371","-0.33140215277671814","-0.33140215277671814","-0.33140215277671814"
"373","-0.2398984283208847","-0.2398984283208847","-0.2398984283208847"
"375","-0.30920395255088806","-0.30920395255088806","-0.30920395255088806"
"377","-0.29563185572624207","-0.29563185572624207","-0.29563185572624207"
"381","-0.3031543791294098","-0.3031543791294098","-0.3031543791294098"
"383","-0.27576255798339844","-0.27576255798339844","-0.27576255798339844"
"387","-0.33575981855392456","-0.33575981855392456","-0.33575981855392456"
"389","-0.23970791697502136","-0.23970791697502136","-0.23970791697502136"
"393","-0.25786468386650085","-0.25786468386650085","-0.25786468386650085"
"395","-0.3021530508995056","-0.3021530508995056","-0.3021530508995056"
"403","-0.3203943967819214","-0.3203943967819214","-0.3203943967819214"
"407","-0.2598106265068054","-0.2598106265068054","-0.2598106265068054"
"417","-0.3064449727535248","-0.3064449727535248","-0.3064449727535248"
"419","-0.290113627910614","-0.290113627910614","-0.290113627910614"
"425","-0.3108559548854828","-0.3108559548854828","-0.3108559548854828"
"427","-0.323385089635849","-0.323385089635849","-0.323385089635849"
"429","-0.32457220554351807","-0.32457220554351807","-0.32457220554351807"
"431","-0.2424153983592987","-0.2424153983592987","-0.2424153983592987"
"433","-0.2906372547149658","-0.2906372547149658","-0.2906372547149658"
