"Step","resilient-blaze-9 - step_crash","resilient-blaze-9 - step_crash__MIN","resilient-blaze-9 - step_crash__MAX"
"1","256","256","256"
"5","0","0","0"
"7","0","0","0"
"11","0","0","0"
"17","5","5","5"
"19","3","3","3"
"21","5","5","5"
"25","7","7","7"
"27","7","7","7"
"29","6","6","6"
"33","8","8","8"
"37","10","10","10"
"41","8","8","8"
"43","13","13","13"
"45","6","6","6"
"49","13","13","13"
"53","11","11","11"
"55","12","12","12"
"57","17","17","17"
"59","8","8","8"
"63","8","8","8"
"67","16","16","16"
"73","7","7","7"
"83","12","12","12"
"87","6","6","6"
"91","11","11","11"
"93","15","15","15"
"95","12","12","12"
"97","9","9","9"
"101","7","7","7"
"103","9","9","9"
"105","13","13","13"
"107","7","7","7"
"115","10","10","10"
"123","7","7","7"
"127","11","11","11"
"129","12","12","12"
"131","7","7","7"
"133","13","13","13"
"135","12","12","12"
"137","14","14","14"
"143","12","12","12"
"149","7","7","7"
"153","9","9","9"
"167","6","6","6"
"171","9","9","9"
"177","7","7","7"
"179","15","15","15"
"187","11","11","11"
"189","14","14","14"
"191","9","9","9"
"197","12","12","12"
"201","6","6","6"
"203","5","5","5"
"207","11","11","11"
"209","6","6","6"
"211","11","11","11"
"215","11","11","11"
"217","10","10","10"
"219","14","14","14"
"221","12","12","12"
"225","9","9","9"
"227","11","11","11"
"229","9","9","9"
"233","4","4","4"
"237","7","7","7"
"241","13","13","13"
"243","10","10","10"
"245","11","11","11"
"249","13","13","13"
"253","6","6","6"
"259","12","12","12"
"263","9","9","9"
"265","7","7","7"
"267","12","12","12"
"269","12","12","12"
"271","7","7","7"
"277","10","10","10"
"283","7","7","7"
"287","13","13","13"
"289","13","13","13"
"293","5","5","5"
"304","7","7","7"
"308","7","7","7"
"310","10","10","10"
"312","9","9","9"
"320","10","10","10"
"324","8","8","8"
"330","6","6","6"
"344","11","11","11"
"348","12","12","12"
"350","8","8","8"
"352","7","7","7"
"354","9","9","9"
"356","10","10","10"
"360","9","9","9"
"362","11","11","11"
"364","13","13","13"
"366","7","7","7"
"372","9","9","9"
"374","8","8","8"
"376","10","10","10"
"382","6","6","6"
"384","10","10","10"
"386","8","8","8"
"388","13","13","13"
"392","4","4","4"
"398","5","5","5"
"404","8","8","8"
"410","6","6","6"
"424","12","12","12"
"428","9","9","9"
"430","10","10","10"
"432","7","7","7"
"436","10","10","10"
"438","7","7","7"
"444","10","10","10"
"454","9","9","9"
"456","9","9","9"
"462","14","14","14"
"470","10","10","10"
"472","5","5","5"
"480","10","10","10"
"484","8","8","8"
"486","12","12","12"
"488","10","10","10"
"490","8","8","8"
"492","7","7","7"
"496","5","5","5"
"498","6","6","6"
"500","8","8","8"
"504","11","11","11"
"506","10","10","10"
"508","11","11","11"
"510","7","7","7"
"514","9","9","9"
"518","6","6","6"
"522","12","12","12"
"524","8","8","8"
"528","7","7","7"
"532","6","6","6"
"536","5","5","5"
"538","13","13","13"
"542","5","5","5"
"550","10","10","10"
"556","9","9","9"
"562","8","8","8"
"564","8","8","8"
"566","6","6","6"
"568","11","11","11"
"572","6","6","6"
"574","7","7","7"
"580","10","10","10"
"582","11","11","11"
"586","11","11","11"
"588","6","6","6"
"590","8","8","8"
"592","8","8","8"
"594","8","8","8"
"602","7","7","7"
"606","6","6","6"
"610","15","15","15"
"612","2","2","2"
"614","7","7","7"
"626","8","8","8"
"628","7","7","7"
"636","11","11","11"
"638","8","8","8"
"642","12","12","12"
"646","10","10","10"
"654","17","17","17"
"656","7","7","7"
"658","7","7","7"
"666","7","7","7"
"668","12","12","12"
"670","4","4","4"
"686","8","8","8"
"690","3","3","3"
"692","5","5","5"
"700","7","7","7"
"702","6","6","6"
"706","9","9","9"
"708","11","11","11"
"710","8","8","8"
"714","7","7","7"
"718","8","8","8"
"722","6","6","6"
"724","10","10","10"
"726","10","10","10"
"728","8","8","8"
"730","8","8","8"
"732","4","4","4"
"736","11","11","11"
"738","10","10","10"
"740","3","3","3"
"742","11","11","11"
"750","12","12","12"
"756","8","8","8"
"758","2","2","2"
"762","9","9","9"
"764","11","11","11"
"768","9","9","9"
"770","6","6","6"
"772","9","9","9"
"776","5","5","5"
"778","9","9","9"
"780","9","9","9"
"784","7","7","7"
"788","7","7","7"
"792","8","8","8"
"796","6","6","6"
"800","8","8","8"
"804","4","4","4"
"806","3","3","3"
"816","4","4","4"
"820","10","10","10"
"824","11","11","11"
"828","5","5","5"
"832","7","7","7"
"834","6","6","6"
"842","14","14","14"
"844","6","6","6"
"846","8","8","8"
"860","3","3","3"
"862","12","12","12"
"864","3","3","3"
"868","5","5","5"
"876","4","4","4"
"878","7","7","7"
"880","7","7","7"
"884","6","6","6"
"886","2","2","2"
"890","5","5","5"
"902","8","8","8"
"904","6","6","6"
"906","3","3","3"
"910","4","4","4"
"916","7","7","7"
"928","4","4","4"
"930","6","6","6"
"934","6","6","6"
"936","5","5","5"
"942","6","6","6"
"944","5","5","5"
"948","5","5","5"
"950","7","7","7"
"952","2","2","2"
"964","5","5","5"
"966","4","4","4"
"968","7","7","7"
"970","4","4","4"
"974","7","7","7"
"976","7","7","7"
"980","4","4","4"
"986","6","6","6"
"992","3","3","3"
"998","2","2","2"
"1002","10","10","10"
"1004","2","2","2"
"1006","4","4","4"
"1012","9","9","9"
"1016","5","5","5"
"1018","3","3","3"
"1022","2","2","2"
"1024","3","3","3"
"1032","9","9","9"
"1036","7","7","7"
"1038","4","4","4"
"1040","1","1","1"
"1042","4","4","4"
"1048","7","7","7"
"1052","2","2","2"
"1058","3","3","3"
"1060","5","5","5"
"1064","4","4","4"
"1066","3","3","3"
"1076","3","3","3"
"1078","4","4","4"
"1080","5","5","5"
"1086","3","3","3"
"1090","7","7","7"
"1092","3","3","3"
"1094","4","4","4"
"1096","5","5","5"
"1098","3","3","3"
"1100","4","4","4"
"1108","5","5","5"
"1110","3","3","3"
