"Step","resilient-blaze-9 - rewards/step","resilient-blaze-9 - rewards/step__MIN","resilient-blaze-9 - rewards/step__MAX"
"295","-1116.8443603515625","-1116.8443603515625","-1116.8443603515625"
"299","-1127.40625","-1127.40625","-1127.40625"
"616","-1128.7142333984375","-1128.7142333984375","-1128.7142333984375"
"620","-1114.2369384765625","-1114.2369384765625","-1114.2369384765625"
"918","-1097.405029296875","-1097.405029296875","-1097.405029296875"
"922","-1100.8670654296875","-1100.8670654296875","-1100.8670654296875"
"939","-1104.1849365234375","-1104.1849365234375","-1104.1849365234375"
"1257","-1097.1375732421875","-1097.1375732421875","-1097.1375732421875"
"1261","-1068.3773193359375","-1068.3773193359375","-1068.3773193359375"
"1576","-936.8154296875","-936.8154296875","-936.8154296875"
"1580","-802.4649047851562","-802.4649047851562","-802.4649047851562"
"1845","-641.1363525390625","-641.1363525390625","-641.1363525390625"
"1849","-518.0537719726562","-518.0537719726562","-518.0537719726562"
"1903","-458.7475280761719","-458.7475280761719","-458.7475280761719"
"2219","-402.17010498046875","-402.17010498046875","-402.17010498046875"
"2223","-447.0463562011719","-447.0463562011719","-447.0463562011719"
"2505","-355.9016418457031","-355.9016418457031","-355.9016418457031"
"2509","-364.91650390625","-364.91650390625","-364.91650390625"
"2542","-311.16064453125","-311.16064453125","-311.16064453125"
"2861","-224.65045166015625","-224.65045166015625","-224.65045166015625"
"2865","-257.391845703125","-257.391845703125","-257.391845703125"
"3169","-226.2491912841797","-226.2491912841797","-226.2491912841797"
"3173","-181.83050537109375","-181.83050537109375","-181.83050537109375"
"3187","-187.02978515625","-187.02978515625","-187.02978515625"
"3503","-147.99951171875","-147.99951171875","-147.99951171875"
"3507","-139.864501953125","-139.864501953125","-139.864501953125"
"3824","-151.6282196044922","-151.6282196044922","-151.6282196044922"
"3828","-137.2185821533203","-137.2185821533203","-137.2185821533203"
"4094","-141.177490234375","-141.177490234375","-141.177490234375"
"4098","-144.8959503173828","-144.8959503173828","-144.8959503173828"
"4149","-129.6862030029297","-129.6862030029297","-129.6862030029297"
"4463","-131.39451599121094","-131.39451599121094","-131.39451599121094"
"4467","-144.82330322265625","-144.82330322265625","-144.82330322265625"
"4753","-141.49887084960938","-141.49887084960938","-141.49887084960938"
"4757","-156.50149536132812","-156.50149536132812","-156.50149536132812"
"4789","-162.4296112060547","-162.4296112060547","-162.4296112060547"
"5106","-160.66903686523438","-160.66903686523438","-160.66903686523438"
"5110","-166.3983154296875","-166.3983154296875","-166.3983154296875"
"5417","-170.726318359375","-170.726318359375","-170.726318359375"
"5421","-173.68556213378906","-173.68556213378906","-173.68556213378906"
"5435","-154.91539001464844","-154.91539001464844","-154.91539001464844"
"5748","-147.94119262695312","-147.94119262695312","-147.94119262695312"
"5752","-169.0210723876953","-169.0210723876953","-169.0210723876953"
"6067","-171.62875366210938","-171.62875366210938","-171.62875366210938"
"6071","-163.31967163085938","-163.31967163085938","-163.31967163085938"
"6340","-179.16612243652344","-179.16612243652344","-179.16612243652344"
"6344","-157.5657196044922","-157.5657196044922","-157.5657196044922"
"6393","-162.51321411132812","-162.51321411132812","-162.51321411132812"
"6710","-150.87655639648438","-150.87655639648438","-150.87655639648438"
"6714","-166.4009552001953","-166.4009552001953","-166.4009552001953"
"7003","-164.32275390625","-164.32275390625","-164.32275390625"
"7007","-185.36007690429688","-185.36007690429688","-185.36007690429688"
"7034","-192.9976348876953","-192.9976348876953","-192.9976348876953"
"7353","-196.28578186035156","-196.28578186035156","-196.28578186035156"
"7357","-167.50286865234375","-167.50286865234375","-167.50286865234375"
"7662","-141.87451171875","-141.87451171875","-141.87451171875"
"7666","-166.82763671875","-166.82763671875","-166.82763671875"
