"Step","restful-aardvark-1 - Smallest CBF value","restful-aardvark-1 - Smallest CBF value__MIN","restful-aardvark-1 - Smallest CBF value__MAX"
"0","-0.44926369190216064","-0.44926369190216064","-0.44926369190216064"
"2","0.24058474600315094","0.24058474600315094","0.24058474600315094"
"4","0.18795907497406006","0.18795907497406006","0.18795907497406006"
"6","0.11652682721614838","0.11652682721614838","0.11652682721614838"
"8","0.12301282584667206","0.12301282584667206","0.12301282584667206"
"10","0.04546329379081726","0.04546329379081726","0.04546329379081726"
"12","-0.06456398218870163","-0.06456398218870163","-0.06456398218870163"
"14","-0.14308713376522064","-0.14308713376522064","-0.14308713376522064"
"16","-0.23509714007377625","-0.23509714007377625","-0.23509714007377625"
"18","-0.23411348462104797","-0.23411348462104797","-0.23411348462104797"
"20","-0.2386074960231781","-0.2386074960231781","-0.2386074960231781"
"22","-0.16247262060642242","-0.16247262060642242","-0.16247262060642242"
"24","-0.25628721714019775","-0.25628721714019775","-0.25628721714019775"
"26","-0.24826925992965698","-0.24826925992965698","-0.24826925992965698"
"28","-0.24397772550582886","-0.24397772550582886","-0.24397772550582886"
"30","-0.25822409987449646","-0.25822409987449646","-0.25822409987449646"
"32","-0.26548776030540466","-0.26548776030540466","-0.26548776030540466"
"34","-0.29396703839302063","-0.29396703839302063","-0.29396703839302063"
"36","-0.2839488685131073","-0.2839488685131073","-0.2839488685131073"
"38","-0.2877812683582306","-0.2877812683582306","-0.2877812683582306"
"40","-0.2609471380710602","-0.2609471380710602","-0.2609471380710602"
"42","-0.3052765727043152","-0.3052765727043152","-0.3052765727043152"
"44","-0.2971963882446289","-0.2971963882446289","-0.2971963882446289"
"46","-0.3050583600997925","-0.3050583600997925","-0.3050583600997925"
"48","-0.25881704688072205","-0.25881704688072205","-0.25881704688072205"
"50","-0.28771981596946716","-0.28771981596946716","-0.28771981596946716"
"52","-0.2574494779109955","-0.2574494779109955","-0.2574494779109955"
"54","-0.2902034521102905","-0.2902034521102905","-0.2902034521102905"
"56","-0.30204296112060547","-0.30204296112060547","-0.30204296112060547"
"58","-0.31565338373184204","-0.31565338373184204","-0.31565338373184204"
"60","-0.2565300464630127","-0.2565300464630127","-0.2565300464630127"
"62","-0.2499430775642395","-0.2499430775642395","-0.2499430775642395"
"64","-0.2656015455722809","-0.2656015455722809","-0.2656015455722809"
"66","-0.270704984664917","-0.270704984664917","-0.270704984664917"
"68","-0.3064388334751129","-0.3064388334751129","-0.3064388334751129"
"70","-0.3066096901893616","-0.3066096901893616","-0.3066096901893616"
"72","-0.32860884070396423","-0.32860884070396423","-0.32860884070396423"
"74","-0.2940226197242737","-0.2940226197242737","-0.2940226197242737"
