"Step","restful-aardvark-1 - info/epochs","restful-aardvark-1 - info/epochs__MIN","restful-aardvark-1 - info/epochs__MAX"
"296","1","1","1"
"300","2","2","2"
"616","3","3","3"
"620","4","4","4"
"914","5","5","5"
"918","6","6","6"
"941","7","7","7"
"1255","8","8","8"
"1259","9","9","9"
"1573","10","10","10"
"1577","11","11","11"
"1840","12","12","12"
"1844","13","13","13"
"1897","14","14","14"
"2214","15","15","15"
"2218","16","16","16"
"2500","17","17","17"
"2504","18","18","18"
"2539","19","19","19"
"2858","20","20","20"
"2862","21","21","21"
"3160","22","22","22"
"3164","23","23","23"
"3186","24","24","24"
"3505","25","25","25"
"3509","26","26","26"
"3818","27","27","27"
"3822","28","28","28"
"3834","29","29","29"
"4153","30","30","30"
"4157","31","31","31"
"4473","32","32","32"
"4477","33","33","33"
"4745","34","34","34"
"4749","35","35","35"
"4797","36","36","36"
"5112","37","37","37"
"5116","38","38","38"
"5405","39","39","39"
"5409","40","40","40"
"5436","41","41","41"
"5752","42","42","42"
"5756","43","43","43"
"6065","44","44","44"
"6069","45","45","45"
"6078","46","46","46"
"6392","47","47","47"
"6396","48","48","48"
"6712","49","49","49"
"6716","50","50","50"
"6991","51","51","51"
"6995","52","52","52"
"7038","53","53","53"
"7355","54","54","54"
"7359","55","55","55"
"7650","56","56","56"
"7654","57","57","57"
"7681","58","58","58"
"7994","59","59","59"
"7998","60","60","60"
"8309","61","61","61"
"8313","62","62","62"
"8572","63","63","63"
"8576","64","64","64"
"8635","65","65","65"
"8949","66","66","66"
"8953","67","67","67"
"9235","68","68","68"
"9239","69","69","69"
"9272","70","70","70"
"9584","71","71","71"
"9588","72","72","72"
"9896","73","73","73"
"9900","74","74","74"
"9909","75","75","75"
"10221","76","76","76"
"10225","77","77","77"
"10538","78","78","78"
"10542","79","79","79"
"10818","80","80","80"
"10822","81","81","81"
"10862","82","82","82"
"11175","83","83","83"
"11179","84","84","84"
"11479","85","85","85"
"11483","86","86","86"
"11500","87","87","87"
"11813","88","88","88"
"11817","89","89","89"
"12132","90","90","90"
"12136","91","91","91"
"12403","92","92","92"
"12407","93","93","93"
"12460","94","94","94"
"12776","95","95","95"
"12780","96","96","96"
"13065","97","97","97"
"13069","98","98","98"
"13104","99","99","99"
"13421","100","100","100"
"13425","101","101","101"
"13724","102","102","102"
"13728","103","103","103"
"13744","104","104","104"
"14058","105","105","105"
"14062","106","106","106"
"14375","107","107","107"
"14379","108","108","108"
"14649","109","109","109"
"14653","110","110","110"
"14698","111","111","111"
"15011","112","112","112"
"15015","113","113","113"
"15308","114","114","114"
"15312","115","115","115"
"15333","116","116","116"
"15646","117","117","117"
"15650","118","118","118"
"15960","119","119","119"
"15964","120","120","120"
"16233","121","121","121"
"16237","122","122","122"
"16286","123","123","123"
"16598","124","124","124"
"16602","125","125","125"
"16894","126","126","126"
"16898","127","127","127"
"16923","128","128","128"
"17237","129","129","129"
"17241","130","130","130"
"17553","131","131","131"
"17557","132","132","132"
"17817","133","133","133"
"17821","134","134","134"
"17879","135","135","135"
"18189","136","136","136"
"18193","137","137","137"
"18477","138","138","138"
"18481","139","139","139"
"18514","140","140","140"
"18827","141","141","141"
"18832","142","142","142"
"19139","143","143","143"
"19143","144","144","144"
"19152","145","145","145"
"19464","146","146","146"
"19468","147","147","147"
"19781","148","148","148"
"19785","149","149","149"
"20062","150","150","150"
"20066","151","151","151"
"20103","152","152","152"
"20416","153","153","153"
"20420","154","154","154"
"20723","155","155","155"
"20727","156","156","156"
"20741","157","157","157"
"21054","158","158","158"
"21058","159","159","159"
"21373","160","160","160"
"21377","161","161","161"
"21648","162","162","162"
"21652","163","163","163"
"21698","164","164","164"
"22012","165","165","165"
"22016","166","166","166"
"22307","167","167","167"
"22311","168","168","168"
"22333","169","169","169"
"22647","170","170","170"
"22651","171","171","171"
"22965","172","172","172"
"22969","173","173","173"
"23231","174","174","174"
"23236","175","175","175"
"23289","176","176","176"
"23604","177","177","177"
"23608","178","178","178"
"23891","179","179","179"
"23895","180","180","180"
"23928","181","181","181"
"24242","182","182","182"
"24246","183","183","183"
"24553","184","184","184"
"24557","185","185","185"
"24564","186","186","186"
"24877","187","187","187"
"24881","188","188","188"
"25194","189","189","189"
"25198","190","190","190"
"25477","191","191","191"
"25481","192","192","192"
"25518","193","193","193"
"25833","194","194","194"
"25837","195","195","195"
"26139","196","196","196"
"26143","197","197","197"
"26162","198","198","198"
"26476","199","199","199"
"26480","200","200","200"
"26791","201","201","201"
"26795","202","202","202"
"27062","203","203","203"
"27066","204","204","204"
"27116","205","205","205"
"27429","206","206","206"
"27433","207","207","207"
"27723","208","208","208"
"27727","209","209","209"
"27754","210","210","210"
"28068","211","211","211"
"28072","212","212","212"
"28382","213","213","213"
"28386","214","214","214"
"28392","215","215","215"
"28703","216","216","216"
"28707","217","217","217"
"29020","218","218","218"
"29024","219","219","219"
"29305","220","220","220"
"29309","221","221","221"
"29344","222","222","222"
"29657","223","223","223"
"29661","224","224","224"
"29967","225","225","225"
"29971","226","226","226"
"29983","227","227","227"
"30295","228","228","228"
"30299","229","229","229"
"30613","230","230","230"
"30617","231","231","231"
"30890","232","232","232"
"30894","233","233","233"
"30937","234","234","234"
"31248","235","235","235"
"31252","236","236","236"
"31552","237","237","237"
"31556","238","238","238"
"31573","239","239","239"
"31887","240","240","240"
"31891","241","241","241"
"32204","242","242","242"
"32208","243","243","243"
"32476","244","244","244"
"32480","245","245","245"
"32528","246","246","246"
"32841","247","247","247"
"32845","248","248","248"
"33110","249","249","249"
"33114","250","250","250"
