"Step","restful-aardvark-1 - global_step","restful-aardvark-1 - global_step__MIN","restful-aardvark-1 - global_step__MAX"
"296","1","1","1"
"297","54","54","54"
"298","54","54","54"
"299","54","54","54"
"300","16384","16384","16384"
"301","16384","16384","16384"
"302","16384","16384","16384"
"615","16384","16384","16384"
"616","32768","32768","32768"
"617","32768","32768","32768"
"618","32768","32768","32768"
"619","32768","32768","32768"
"620","49152","49152","49152"
"621","49152","49152","49152"
"622","49152","49152","49152"
"913","49152","49152","49152"
"914","65536","65536","65536"
"915","65536","65536","65536"
"916","65536","65536","65536"
"917","65536","65536","65536"
"918","81920","81920","81920"
"919","81920","81920","81920"
"920","81920","81920","81920"
"940","81920","81920","81920"
"941","98304","98304","98304"
"942","98304","98304","98304"
"943","98304","98304","98304"
"1254","98304","98304","98304"
"1255","114688","114688","114688"
"1256","114688","114688","114688"
"1257","114688","114688","114688"
"1258","114688","114688","114688"
"1259","131072","131072","131072"
"1260","131072","131072","131072"
"1261","131072","131072","131072"
"1572","131072","131072","131072"
"1573","147456","147456","147456"
"1574","147456","147456","147456"
"1575","147456","147456","147456"
"1576","147456","147456","147456"
"1577","163840","163840","163840"
"1578","163840","163840","163840"
"1579","163840","163840","163840"
"1839","163840","163840","163840"
"1840","180224","180224","180224"
"1841","180224","180224","180224"
"1842","180224","180224","180224"
"1843","180224","180224","180224"
"1844","196608","196608","196608"
"1845","196608","196608","196608"
"1846","196608","196608","196608"
"1896","196608","196608","196608"
"1897","212992","212992","212992"
"1898","212992","212992","212992"
"1899","212992","212992","212992"
"2213","212992","212992","212992"
"2214","229376","229376","229376"
"2215","229376","229376","229376"
"2216","229376","229376","229376"
"2217","229376","229376","229376"
"2218","245760","245760","245760"
"2219","245760","245760","245760"
"2220","245760","245760","245760"
"2499","245760","245760","245760"
"2500","262144","262144","262144"
"2501","262144","262144","262144"
"2502","262144","262144","262144"
"2503","262144","262144","262144"
"2504","278528","278528","278528"
"2505","278528","278528","278528"
"2506","278528","278528","278528"
"2538","278528","278528","278528"
"2539","294912","294912","294912"
"2540","294912","294912","294912"
"2541","294912","294912","294912"
"2857","294912","294912","294912"
"2858","311296","311296","311296"
"2859","311296","311296","311296"
"2860","311296","311296","311296"
"2861","311296","311296","311296"
"2862","327680","327680","327680"
"2863","327680","327680","327680"
"2864","327680","327680","327680"
"3159","327680","327680","327680"
"3160","344064","344064","344064"
"3161","344064","344064","344064"
"3162","344064","344064","344064"
"3163","344064","344064","344064"
"3164","360448","360448","360448"
"3165","360448","360448","360448"
"3166","360448","360448","360448"
"3185","360448","360448","360448"
"3186","376832","376832","376832"
"3187","376832","376832","376832"
"3188","376832","376832","376832"
"3504","376832","376832","376832"
"3505","393216","393216","393216"
"3506","393216","393216","393216"
"3507","393216","393216","393216"
"3508","393216","393216","393216"
"3509","409600","409600","409600"
"3510","409600","409600","409600"
"3511","409600","409600","409600"
"3817","409600","409600","409600"
"3818","425984","425984","425984"
"3819","425984","425984","425984"
"3820","425984","425984","425984"
"3821","425984","425984","425984"
"3822","442368","442368","442368"
"3823","442368","442368","442368"
"3824","442368","442368","442368"
"3833","442368","442368","442368"
"3834","458752","458752","458752"
"3835","458752","458752","458752"
"3836","458752","458752","458752"
"4152","458752","458752","458752"
"4153","475136","475136","475136"
"4154","475136","475136","475136"
"4155","475136","475136","475136"
"4156","475136","475136","475136"
"4157","491520","491520","491520"
"4158","491520","491520","491520"
"4159","491520","491520","491520"
"4472","491520","491520","491520"
