"Step","restful-aardvark-1 - Success Rate","restful-aardvark-1 - Success Rate__MIN","restful-aardvark-1 - Success Rate__MAX"
"409","0","0","0"
"1488","0","0","0"
"3937","0","0","0"
"6400","0","0","0"
"8867","0.0014641288435086608","0.0014641288435086608","0.0014641288435086608"
"11340","0.019521716982126236","0.019521716982126236","0.019521716982126236"
"13809","0.046341463923454285","0.046341463923454285","0.046341463923454285"
"16260","0.05314480885863304","0.05314480885863304","0.05314480885863304"
"18699","0.08487804979085922","0.08487804979085922","0.08487804979085922"
"21092","0.16357421875","0.16357421875","0.16357421875"
"23425","0.21414634585380554","0.21414634585380554","0.21414634585380554"
"25682","0.28662109375","0.28662109375","0.28662109375"
"27839","0.39170733094215393","0.39170733094215393","0.39170733094215393"
"29870","0.47535383701324463","0.47535383701324463","0.47535383701324463"
"31813","0.56201171875","0.56201171875","0.56201171875"
