"Step","royal-haze-1 - step_crash","royal-haze-1 - step_crash__MIN","royal-haze-1 - step_crash__MAX"
"1","256","256","256"
"3","0","0","0"
"5","0","0","0"
"7","0","0","0"
"9","0","0","0"
"11","0","0","0"
"13","0","0","0"
"15","0","0","0"
"17","0","0","0"
"19","0","0","0"
"21","0","0","0"
"23","0","0","0"
"25","0","0","0"
"27","0","0","0"
"29","0","0","0"
"31","0","0","0"
"33","0","0","0"
"35","0","0","0"
"37","0","0","0"
"39","0","0","0"
"41","0","0","0"
"43","0","0","0"
"45","0","0","0"
"47","0","0","0"
"49","0","0","0"
"51","1","1","1"
"53","1","1","1"
"55","0","0","0"
"57","1","1","1"
"59","0","0","0"
"61","0","0","0"
"63","0","0","0"
"65","0","0","0"
"67","0","0","0"
"69","0","0","0"
"71","0","0","0"
"73","0","0","0"
"75","0","0","0"
"77","0","0","0"
"79","0","0","0"
"81","1","1","1"
"83","0","0","0"
"85","0","0","0"
"87","1","1","1"
"89","1","1","1"
"91","1","1","1"
"93","0","0","0"
"95","3","3","3"
"97","0","0","0"
"99","0","0","0"
"101","0","0","0"
"103","0","0","0"
"105","0","0","0"
"107","0","0","0"
"109","2","2","2"
"111","1","1","1"
"113","2","2","2"
"115","0","0","0"
"117","0","0","0"
"119","1","1","1"
"121","1","1","1"
"123","0","0","0"
"125","1","1","1"
"127","1","1","1"
"129","0","0","0"
"131","1","1","1"
"133","1","1","1"
"135","1","1","1"
"137","0","0","0"
"139","1","1","1"
"141","1","1","1"
"143","2","2","2"
"145","0","0","0"
"147","1","1","1"
"149","1","1","1"
"151","1","1","1"
"153","1","1","1"
"155","2","2","2"
"157","1","1","1"
"159","0","0","0"
"161","0","0","0"
"163","0","0","0"
"165","0","0","0"
"167","0","0","0"
"169","2","2","2"
"171","2","2","2"
"173","0","0","0"
"175","3","3","3"
"177","1","1","1"
"179","1","1","1"
"181","0","0","0"
"183","1","1","1"
"185","2","2","2"
"187","4","4","4"
"189","1","1","1"
"191","3","3","3"
"193","0","0","0"
"195","1","1","1"
"197","0","0","0"
"199","0","0","0"
"201","0","0","0"
"203","1","1","1"
"205","0","0","0"
"207","4","4","4"
"209","1","1","1"
"211","3","3","3"
"213","2","2","2"
"215","4","4","4"
"217","1","1","1"
"219","2","2","2"
"221","2","2","2"
"223","1","1","1"
"225","1","1","1"
"227","0","0","0"
"229","0","0","0"
"231","0","0","0"
"233","2","2","2"
"235","2","2","2"
"237","0","0","0"
"239","0","0","0"
"241","2","2","2"
"243","2","2","2"
"245","3","3","3"
"247","0","0","0"
"249","3","3","3"
"251","0","0","0"
"253","0","0","0"
"255","0","0","0"
"257","0","0","0"
"259","2","2","2"
"261","1","1","1"
"263","0","0","0"
"265","1","1","1"
"267","1","1","1"
"269","1","1","1"
"271","1","1","1"
"273","0","0","0"
"275","0","0","0"
"277","0","0","0"
"279","2","2","2"
"281","3","3","3"
"283","0","0","0"
