"Step","rare-brook-31 - CBF constraint(unfiltered)","rare-brook-31 - CBF constraint(unfiltered)__MIN","rare-brook-31 - CBF constraint(unfiltered)__MAX"
"2","-0.013925331644713879","-0.013925331644713879","-0.013925331644713879"
"4","-0.013652150519192219","-0.013652150519192219","-0.013652150519192219"
"6","-0.01806245557963848","-0.01806245557963848","-0.01806245557963848"
"22","-0.026294386014342308","-0.026294386014342308","-0.026294386014342308"
"34","-0.036362070590257645","-0.036362070590257645","-0.036362070590257645"
"36","-0.030352957546710968","-0.030352957546710968","-0.030352957546710968"
"38","-0.042305972427129745","-0.042305972427129745","-0.042305972427129745"
"56","-0.04905528947710991","-0.04905528947710991","-0.04905528947710991"
"58","-0.04269588738679886","-0.04269588738679886","-0.04269588738679886"
"62","-0.03468771278858185","-0.03468771278858185","-0.03468771278858185"
"70","-0.04545574635267258","-0.04545574635267258","-0.04545574635267258"
"78","-0.03465038537979126","-0.03465038537979126","-0.03465038537979126"
"80","-0.052423328161239624","-0.052423328161239624","-0.052423328161239624"
"86","-0.031459324061870575","-0.031459324061870575","-0.031459324061870575"
"90","-0.03549620881676674","-0.03549620881676674","-0.03549620881676674"
"92","-0.02521282061934471","-0.02521282061934471","-0.02521282061934471"
"100","-0.02941756695508957","-0.02941756695508957","-0.02941756695508957"
"110","-0.030807146802544594","-0.030807146802544594","-0.030807146802544594"
"112","-0.03714016079902649","-0.03714016079902649","-0.03714016079902649"
"118","-0.030880017206072807","-0.030880017206072807","-0.030880017206072807"
"122","-0.025159262120723724","-0.025159262120723724","-0.025159262120723724"
"126","-0.049663759768009186","-0.049663759768009186","-0.049663759768009186"
"130","-0.04328976571559906","-0.04328976571559906","-0.04328976571559906"
"136","-0.055695973336696625","-0.055695973336696625","-0.055695973336696625"
"142","-0.03877640888094902","-0.03877640888094902","-0.03877640888094902"
"144","-0.0278177410364151","-0.0278177410364151","-0.0278177410364151"
"148","-0.04810667037963867","-0.04810667037963867","-0.04810667037963867"
"152","-0.05431823804974556","-0.05431823804974556","-0.05431823804974556"
"166","-0.03885166347026825","-0.03885166347026825","-0.03885166347026825"
"168","-0.028718233108520508","-0.028718233108520508","-0.028718233108520508"
"170","-0.017565695568919182","-0.017565695568919182","-0.017565695568919182"
"174","-0.03414776548743248","-0.03414776548743248","-0.03414776548743248"
"182","-0.02897966466844082","-0.02897966466844082","-0.02897966466844082"
"184","-0.028522174805402756","-0.028522174805402756","-0.028522174805402756"
"190","-0.035600706934928894","-0.035600706934928894","-0.035600706934928894"
"192","-0.049198590219020844","-0.049198590219020844","-0.049198590219020844"
"196","-0.028650887310504913","-0.028650887310504913","-0.028650887310504913"
"200","-0.04024260491132736","-0.04024260491132736","-0.04024260491132736"
"220","-0.040323808789253235","-0.040323808789253235","-0.040323808789253235"
"222","-0.033752210438251495","-0.033752210438251495","-0.033752210438251495"
"226","-0.047468557953834534","-0.047468557953834534","-0.047468557953834534"
"228","-0.020605668425559998","-0.020605668425559998","-0.020605668425559998"
"240","-0.03227568045258522","-0.03227568045258522","-0.03227568045258522"
"244","-0.01933801732957363","-0.01933801732957363","-0.01933801732957363"
"250","-0.03883988410234451","-0.03883988410234451","-0.03883988410234451"
"254","-0.06733603030443192","-0.06733603030443192","-0.06733603030443192"
"260","-0.03001684881746769","-0.03001684881746769","-0.03001684881746769"
"282","-0.04517259821295738","-0.04517259821295738","-0.04517259821295738"
"284","-0.04945666342973709","-0.04945666342973709","-0.04945666342973709"
"292","-0.028986230492591858","-0.028986230492591858","-0.028986230492591858"
"301","-0.0240667425096035","-0.0240667425096035","-0.0240667425096035"
"305","-0.02219642885029316","-0.02219642885029316","-0.02219642885029316"
"307","-0.025834962725639343","-0.025834962725639343","-0.025834962725639343"
"321","-0.03445388004183769","-0.03445388004183769","-0.03445388004183769"
"333","-0.028018154203891754","-0.028018154203891754","-0.028018154203891754"
"341","-0.03875352814793587","-0.03875352814793587","-0.03875352814793587"
"347","-0.03895548731088638","-0.03895548731088638","-0.03895548731088638"
"353","-0.03889155015349388","-0.03889155015349388","-0.03889155015349388"
"371","-0.03459218889474869","-0.03459218889474869","-0.03459218889474869"
"373","-0.02197737991809845","-0.02197737991809845","-0.02197737991809845"
"377","-0.030647166073322296","-0.030647166073322296","-0.030647166073322296"
"385","-0.030055485665798187","-0.030055485665798187","-0.030055485665798187"
"399","-0.026495078578591347","-0.026495078578591347","-0.026495078578591347"
"401","-0.03733506798744202","-0.03733506798744202","-0.03733506798744202"
"409","-0.03830943629145622","-0.03830943629145622","-0.03830943629145622"
"411","-0.022521372884511948","-0.022521372884511948","-0.022521372884511948"
"421","-0.03281006962060928","-0.03281006962060928","-0.03281006962060928"
"423","-0.018280470743775368","-0.018280470743775368","-0.018280470743775368"
