"Step","rare-brook-31 - rewards/iter","rare-brook-31 - rewards/iter__MIN","rare-brook-31 - rewards/iter__MAX"
"294","-1057.2301025390625","-1057.2301025390625","-1057.2301025390625"
"298","-1053.926025390625","-1053.926025390625","-1053.926025390625"
"618","-1071.3021240234375","-1071.3021240234375","-1071.3021240234375"
"622","-1060.531494140625","-1060.531494140625","-1060.531494140625"
"918","-1051.2811279296875","-1051.2811279296875","-1051.2811279296875"
"922","-1038.2977294921875","-1038.2977294921875","-1038.2977294921875"
"946","-1028.6201171875","-1028.6201171875","-1028.6201171875"
"1260","-1003.596923828125","-1003.596923828125","-1003.596923828125"
"1264","-1026.5142822265625","-1026.5142822265625","-1026.5142822265625"
"1578","-935.9910888671875","-935.9910888671875","-935.9910888671875"
"1582","-810.677490234375","-810.677490234375","-810.677490234375"
"1590","-790.4887084960938","-790.4887084960938","-790.4887084960938"
"1910","-753.0715942382812","-753.0715942382812","-753.0715942382812"
"1914","-646.1920776367188","-646.1920776367188","-646.1920776367188"
"2230","-540.7293090820312","-540.7293090820312","-540.7293090820312"
"2234","-365.716552734375","-365.716552734375","-365.716552734375"
"2506","-326.2631530761719","-326.2631530761719","-326.2631530761719"
"2510","-270.0936584472656","-270.0936584472656","-270.0936584472656"
"2556","-248.09426879882812","-248.09426879882812","-248.09426879882812"
"2870","-253.16981506347656","-253.16981506347656","-253.16981506347656"
"2874","-255.14495849609375","-255.14495849609375","-255.14495849609375"
"3166","-265.7943420410156","-265.7943420410156","-265.7943420410156"
"3170","-214.982177734375","-214.982177734375","-214.982177734375"
"3198","-219.0413055419922","-219.0413055419922","-219.0413055419922"
"3516","-227.33091735839844","-227.33091735839844","-227.33091735839844"
"3520","-203.57052612304688","-203.57052612304688","-203.57052612304688"
"3826","-193.2488250732422","-193.2488250732422","-193.2488250732422"
"3830","-182.1590118408203","-182.1590118408203","-182.1590118408203"
"3842","-194.49850463867188","-194.49850463867188","-194.49850463867188"
"4162","-172.69483947753906","-172.69483947753906","-172.69483947753906"
"4166","-176.54974365234375","-176.54974365234375","-176.54974365234375"
"4482","-198.2525177001953","-198.2525177001953","-198.2525177001953"
"4486","-176.77777099609375","-176.77777099609375","-176.77777099609375"
"4756","-181.31753540039062","-181.31753540039062","-181.31753540039062"
"4760","-225.71263122558594","-225.71263122558594","-225.71263122558594"
"4804","-205.0755615234375","-205.0755615234375","-205.0755615234375"
"5120","-174.62545776367188","-174.62545776367188","-174.62545776367188"
"5124","-167.44346618652344","-167.44346618652344","-167.44346618652344"
"5414","-152.70150756835938","-152.70150756835938","-152.70150756835938"
"5418","-141.27381896972656","-141.27381896972656","-141.27381896972656"
"5448","-154.7409210205078","-154.7409210205078","-154.7409210205078"
"5764","-168.5033721923828","-168.5033721923828","-168.5033721923828"
"5768","-176.07736206054688","-176.07736206054688","-176.07736206054688"
"6074","-183.67718505859375","-183.67718505859375","-183.67718505859375"
"6078","-160.93833923339844","-160.93833923339844","-160.93833923339844"
"6092","-173.4093780517578","-173.4093780517578","-173.4093780517578"
"6408","-169.24359130859375","-169.24359130859375","-169.24359130859375"
"6412","-192.1317596435547","-192.1317596435547","-192.1317596435547"
"6732","-156.352294921875","-156.352294921875","-156.352294921875"
"6736","-159.54415893554688","-159.54415893554688","-159.54415893554688"
"7002","-177.05255126953125","-177.05255126953125","-177.05255126953125"
"7006","-184.3246612548828","-184.3246612548828","-184.3246612548828"
"7060","-170.23876953125","-170.23876953125","-170.23876953125"
"7376","-178.087158203125","-178.087158203125","-178.087158203125"
"7380","-182.96072387695312","-182.96072387695312","-182.96072387695312"
"7662","-161.3694610595703","-161.3694610595703","-161.3694610595703"
"7666","-163.85472106933594","-163.85472106933594","-163.85472106933594"
"7706","-172.2025146484375","-172.2025146484375","-172.2025146484375"
"8022","-165.73765563964844","-165.73765563964844","-165.73765563964844"
"8026","-164.30551147460938","-164.30551147460938","-164.30551147460938"
"8322","-155.01229858398438","-155.01229858398438","-155.01229858398438"
"8326","-144.45555114746094","-144.45555114746094","-144.45555114746094"
"8348","-94.83067321777344","-94.83067321777344","-94.83067321777344"
"8664","-69.28564453125","-69.28564453125","-69.28564453125"
"8668","-67.49537658691406","-67.49537658691406","-67.49537658691406"
"8988","-71.0537109375","-71.0537109375","-71.0537109375"
"8992","-89.09415435791016","-89.09415435791016","-89.09415435791016"
"9250","-116.42042541503906","-116.42042541503906","-116.42042541503906"
"9254","-71.55046081542969","-71.55046081542969","-71.55046081542969"
"9312","-109.39686584472656","-109.39686584472656","-109.39686584472656"
"9628","-77.86214447021484","-77.86214447021484","-77.86214447021484"
"9632","-94.69454193115234","-94.69454193115234","-94.69454193115234"
"9910","-39.688926696777344","-39.688926696777344","-39.688926696777344"
"9914","-30.04868507385254","-30.04868507385254","-30.04868507385254"
"9954","-2.058927536010742","-2.058927536010742","-2.058927536010742"
"10270","-68.26026153564453","-68.26026153564453","-68.26026153564453"
"10274","-99.82594299316406","-99.82594299316406","-99.82594299316406"
"10570","-112.98100280761719","-112.98100280761719","-112.98100280761719"
"10574","-81.01760864257812","-81.01760864257812","-81.01760864257812"
"10594","-68.46687316894531","-68.46687316894531","-68.46687316894531"
"10910","-77.4720458984375","-77.4720458984375","-77.4720458984375"
"10914","-110.63282012939453","-110.63282012939453","-110.63282012939453"
"11232","-80.70153045654297","-80.70153045654297","-80.70153045654297"
"11236","-94.43311309814453","-94.43311309814453","-94.43311309814453"
"11498","-69.52055358886719","-69.52055358886719","-69.52055358886719"
"11502","-67.71918487548828","-67.71918487548828","-67.71918487548828"
"11562","-98.44782257080078","-98.44782257080078","-98.44782257080078"
"11876","-43.94239044189453","-43.94239044189453","-43.94239044189453"
"11880","-48.59946823120117","-48.59946823120117","-48.59946823120117"
"12158","-66.03861999511719","-66.03861999511719","-66.03861999511719"
"12162","-62.15515899658203","-62.15515899658203","-62.15515899658203"
"12204","7.396609783172607","7.396609783172607","7.396609783172607"
"12518","8.90671157836914","8.90671157836914","8.90671157836914"
"12522","-27.788036346435547","-27.788036346435547","-27.788036346435547"
"12818","31.272001266479492","31.272001266479492","31.272001266479492"
"12822","62.99238204956055","62.99238204956055","62.99238204956055"
"12844","46.6923713684082","46.6923713684082","46.6923713684082"
"13160","67.74337005615234","67.74337005615234","67.74337005615234"
"13164","18.499876022338867","18.499876022338867","18.499876022338867"
"13478","82.12238311767578","82.12238311767578","82.12238311767578"
"13482","23.810848236083984","23.810848236083984","23.810848236083984"
"13488","36.200687408447266","36.200687408447266","36.200687408447266"
"13804","54.899349212646484","54.899349212646484","54.899349212646484"
"13808","84.58089447021484","84.58089447021484","84.58089447021484"
"14124","128.70030212402344","128.70030212402344","128.70030212402344"
"14128","142.91506958007812","142.91506958007812","142.91506958007812"
"14408","76.11933135986328","76.11933135986328","76.11933135986328"
"14412","50.84418869018555","50.84418869018555","50.84418869018555"
"14452","82.67841339111328","82.67841339111328","82.67841339111328"
"14770","94.66139221191406","94.66139221191406","94.66139221191406"
"14774","146.67929077148438","146.67929077148438","146.67929077148438"
"15066","152.06553649902344","152.06553649902344","152.06553649902344"
"15070","128.83993530273438","128.83993530273438","128.83993530273438"
"15096","97.41014099121094","97.41014099121094","97.41014099121094"
"15414","149.49037170410156","149.49037170410156","149.49037170410156"
"15418","83.08590698242188","83.08590698242188","83.08590698242188"
"15724","157.87281799316406","157.87281799316406","157.87281799316406"
"15728","57.4340705871582","57.4340705871582","57.4340705871582"
"15744","161.62574768066406","161.62574768066406","161.62574768066406"
"16062","175.76284790039062","175.76284790039062","175.76284790039062"
"16066","195.03656005859375","195.03656005859375","195.03656005859375"
"16378","167.37001037597656","167.37001037597656","167.37001037597656"
"16382","129.49925231933594","129.49925231933594","129.49925231933594"
"16656","174.5869140625","174.5869140625","174.5869140625"
"16660","109.71854400634766","109.71854400634766","109.71854400634766"
