"Step","still-disco-8 - Smallest CBF constraint(unfiltered)","still-disco-8 - Smallest CBF constraint(unfiltered)__MIN","still-disco-8 - Smallest CBF constraint(unfiltered)__MAX"
"2","-1.0200791358947754","-1.0200791358947754","-1.0200791358947754"
"4","-0.9779673218727112","-0.9779673218727112","-0.9779673218727112"
"8","-1.4303869009017944","-1.4303869009017944","-1.4303869009017944"
"16","-1.5081254243850708","-1.5081254243850708","-1.5081254243850708"
"18","-1.9877415895462036","-1.9877415895462036","-1.9877415895462036"
"20","-1.8826795816421509","-1.8826795816421509","-1.8826795816421509"
"42","-2.034574270248413","-2.034574270248413","-2.034574270248413"
"44","-1.312027096748352","-1.312027096748352","-1.312027096748352"
"46","-1.9631620645523071","-1.9631620645523071","-1.9631620645523071"
"50","-1.9668846130371094","-1.9668846130371094","-1.9668846130371094"
"54","-1.7698007822036743","-1.7698007822036743","-1.7698007822036743"
"56","-1.8005187511444092","-1.8005187511444092","-1.8005187511444092"
"58","-1.5372960567474365","-1.5372960567474365","-1.5372960567474365"
"64","-1.9642765522003174","-1.9642765522003174","-1.9642765522003174"
"68","-1.9905285835266113","-1.9905285835266113","-1.9905285835266113"
"72","-1.734493374824524","-1.734493374824524","-1.734493374824524"
"74","-2.0077104568481445","-2.0077104568481445","-2.0077104568481445"
"78","-1.85823392868042","-1.85823392868042","-1.85823392868042"
"82","-1.7328511476516724","-1.7328511476516724","-1.7328511476516724"
"84","-1.7489326000213623","-1.7489326000213623","-1.7489326000213623"
"90","-1.8119784593582153","-1.8119784593582153","-1.8119784593582153"
"92","-1.7737619876861572","-1.7737619876861572","-1.7737619876861572"
"94","-2.0629565715789795","-2.0629565715789795","-2.0629565715789795"
"98","-1.812705397605896","-1.812705397605896","-1.812705397605896"
"100","-1.9277557134628296","-1.9277557134628296","-1.9277557134628296"
"102","-1.7858940362930298","-1.7858940362930298","-1.7858940362930298"
"104","-1.994748592376709","-1.994748592376709","-1.994748592376709"
"108","-1.8743395805358887","-1.8743395805358887","-1.8743395805358887"
"110","-2.018545627593994","-2.018545627593994","-2.018545627593994"
"112","-2.074655055999756","-2.074655055999756","-2.074655055999756"
"116","-1.9274758100509644","-1.9274758100509644","-1.9274758100509644"
"122","-1.5213079452514648","-1.5213079452514648","-1.5213079452514648"
