"Step","still-disco-8 - Smallest CBF value","still-disco-8 - Smallest CBF value__MIN","still-disco-8 - Smallest CBF value__MAX"
"4","0.2716590464115143","0.2716590464115143","0.2716590464115143"
"6","0.21460425853729248","0.21460425853729248","0.21460425853729248"
"10","-0.04068673029541969","-0.04068673029541969","-0.04068673029541969"
"16","-0.21944397687911987","-0.21944397687911987","-0.21944397687911987"
"18","-0.2372560054063797","-0.2372560054063797","-0.2372560054063797"
"20","-0.21645082533359528","-0.21645082533359528","-0.21645082533359528"
"26","-0.20776069164276123","-0.20776069164276123","-0.20776069164276123"
"28","-0.24561895430088043","-0.24561895430088043","-0.24561895430088043"
"30","-0.1652611494064331","-0.1652611494064331","-0.1652611494064331"
"32","-0.22520624101161957","-0.22520624101161957","-0.22520624101161957"
"34","-0.2522340416908264","-0.2522340416908264","-0.2522340416908264"
"36","-0.22071820497512817","-0.22071820497512817","-0.22071820497512817"
"38","-0.30694580078125","-0.30694580078125","-0.30694580078125"
"42","-0.2490406483411789","-0.2490406483411789","-0.2490406483411789"
"44","-0.26351627707481384","-0.26351627707481384","-0.26351627707481384"
"48","-0.23880748450756073","-0.23880748450756073","-0.23880748450756073"
"52","-0.27799469232559204","-0.27799469232559204","-0.27799469232559204"
"58","-0.21111440658569336","-0.21111440658569336","-0.21111440658569336"
"64","-0.2536766231060028","-0.2536766231060028","-0.2536766231060028"
"66","-0.20055744051933289","-0.20055744051933289","-0.20055744051933289"
"68","-0.21080590784549713","-0.21080590784549713","-0.21080590784549713"
"70","-0.24764487147331238","-0.24764487147331238","-0.24764487147331238"
"74","-0.26545000076293945","-0.26545000076293945","-0.26545000076293945"
"76","-0.23386740684509277","-0.23386740684509277","-0.23386740684509277"
"78","-0.2307112067937851","-0.2307112067937851","-0.2307112067937851"
"82","-0.26488909125328064","-0.26488909125328064","-0.26488909125328064"
"84","-0.27154916524887085","-0.27154916524887085","-0.27154916524887085"
"86","-0.2939722239971161","-0.2939722239971161","-0.2939722239971161"
"92","-0.22113114595413208","-0.22113114595413208","-0.22113114595413208"
"100","-0.2574063837528229","-0.2574063837528229","-0.2574063837528229"
"102","-0.22339551150798798","-0.22339551150798798","-0.22339551150798798"
"106","-0.2781573235988617","-0.2781573235988617","-0.2781573235988617"
"108","-0.253969669342041","-0.253969669342041","-0.253969669342041"
"114","-0.26043257117271423","-0.26043257117271423","-0.26043257117271423"
"116","-0.20806092023849487","-0.20806092023849487","-0.20806092023849487"
"118","-0.2350626289844513","-0.2350626289844513","-0.2350626289844513"
"120","-0.24053487181663513","-0.24053487181663513","-0.24053487181663513"
"126","-0.22982458770275116","-0.22982458770275116","-0.22982458770275116"
"128","-0.23272082209587097","-0.23272082209587097","-0.23272082209587097"
"132","-0.24440521001815796","-0.24440521001815796","-0.24440521001815796"
"134","-0.26304277777671814","-0.26304277777671814","-0.26304277777671814"
"136","-0.25363293290138245","-0.25363293290138245","-0.25363293290138245"
"138","-0.2604142427444458","-0.2604142427444458","-0.2604142427444458"
"140","-0.2427518665790558","-0.2427518665790558","-0.2427518665790558"
"142","-0.25011196732521057","-0.25011196732521057","-0.25011196732521057"
"144","-0.28771838545799255","-0.28771838545799255","-0.28771838545799255"
