"Step","still-disco-8 - step_crash","still-disco-8 - step_crash__MIN","still-disco-8 - step_crash__MAX"
"3","0","0","0"
"7","0","0","0"
"15","4","4","4"
"19","10","10","10"
"21","14","14","14"
"29","18","18","18"
"33","14","14","14"
"39","22","22","22"
"43","16","16","16"
"45","19","19","19"
"49","12","12","12"
"53","12","12","12"
"61","14","14","14"
"65","9","9","9"
"67","7","7","7"
"69","16","16","16"
"75","14","14","14"
"77","12","12","12"
"81","15","15","15"
"85","14","14","14"
"89","17","17","17"
"93","14","14","14"
"97","16","16","16"
"111","16","16","16"
"115","16","16","16"
"123","13","13","13"
"125","11","11","11"
"129","10","10","10"
"135","14","14","14"
"141","11","11","11"
"149","15","15","15"
"153","20","20","20"
"155","7","7","7"
"157","13","13","13"
"163","16","16","16"
"165","11","11","11"
"171","12","12","12"
"175","14","14","14"
"179","19","19","19"
"183","17","17","17"
"185","14","14","14"
"189","8","8","8"
"191","13","13","13"
"197","11","11","11"
"201","17","17","17"
"203","15","15","15"
"207","12","12","12"
"213","12","12","12"
"217","11","11","11"
"221","16","16","16"
"229","20","20","20"
"233","14","14","14"
"235","16","16","16"
"237","9","9","9"
"239","23","23","23"
"247","9","9","9"
"257","13","13","13"
"263","7","7","7"
"267","18","18","18"
"269","12","12","12"
"273","8","8","8"
"275","12","12","12"
"277","17","17","17"
"287","19","19","19"
"289","16","16","16"
"291","8","8","8"
"295","9","9","9"
"297","20","20","20"
"299","12","12","12"
"301","17","17","17"
"312","11","11","11"
"314","10","10","10"
"316","13","13","13"
"324","11","11","11"
"326","12","12","12"
"334","13","13","13"
"338","17","17","17"
"342","10","10","10"
"348","13","13","13"
"350","11","11","11"
"352","19","19","19"
"354","20","20","20"
"356","17","17","17"
"358","15","15","15"
"360","12","12","12"
"362","17","17","17"
"364","13","13","13"
"366","18","18","18"
"368","11","11","11"
"372","13","13","13"
"374","15","15","15"
"376","8","8","8"
"378","15","15","15"
"380","10","10","10"
"386","9","9","9"
"388","13","13","13"
"392","11","11","11"
"396","14","14","14"
"400","13","13","13"
"414","16","16","16"
"418","9","9","9"
"420","14","14","14"
"422","17","17","17"
"426","13","13","13"
"430","18","18","18"
"432","8","8","8"
"434","17","17","17"
"438","8","8","8"
"440","15","15","15"
"452","12","12","12"
"458","14","14","14"
"460","17","17","17"
"462","10","10","10"
"464","12","12","12"
"466","10","10","10"
"472","11","11","11"
"474","10","10","10"
"476","14","14","14"
"478","14","14","14"
"480","15","15","15"
"488","12","12","12"
"496","20","20","20"
"498","12","12","12"
"500","4","4","4"
"502","11","11","11"
"506","10","10","10"
"508","17","17","17"
"510","14","14","14"
"512","16","16","16"
"514","15","15","15"
"518","10","10","10"
"520","17","17","17"
"524","7","7","7"
"526","15","15","15"
"528","15","15","15"
"530","19","19","19"
"536","16","16","16"
"540","17","17","17"
"544","10","10","10"
"546","16","16","16"
"548","9","9","9"
"550","13","13","13"
"554","15","15","15"
"556","15","15","15"
"558","12","12","12"
"560","8","8","8"
"562","16","16","16"
"568","15","15","15"
"572","10","10","10"
"574","11","11","11"
"578","20","20","20"
"584","7","7","7"
"586","9","9","9"
"588","11","11","11"
"592","14","14","14"
"602","12","12","12"
"604","15","15","15"
"606","11","11","11"
"612","18","18","18"
"614","9","9","9"
"616","12","12","12"
"618","14","14","14"
"620","12","12","12"
"636","11","11","11"
"638","13","13","13"
"640","14","14","14"
"642","7","7","7"
"646","9","9","9"
"648","16","16","16"
"650","19","19","19"
"652","12","12","12"
"654","11","11","11"
"656","7","7","7"
"658","9","9","9"
"660","20","20","20"
"662","18","18","18"
"664","16","16","16"
"666","19","19","19"
"668","12","12","12"
"672","14","14","14"
"676","9","9","9"
"678","8","8","8"
"680","13","13","13"
"686","13","13","13"
"688","8","8","8"
"694","11","11","11"
"698","15","15","15"
"712","9","9","9"
"714","6","6","6"
"716","19","19","19"
"726","11","11","11"
"728","16","16","16"
"734","15","15","15"
"738","13","13","13"
"750","14","14","14"
"752","12","12","12"
"762","12","12","12"
"764","13","13","13"
"766","14","14","14"
"768","12","12","12"
"770","18","18","18"
"772","13","13","13"
"774","11","11","11"
"778","17","17","17"
"782","11","11","11"
"790","18","18","18"
"792","17","17","17"
"794","11","11","11"
"796","8","8","8"
"798","14","14","14"
"800","11","11","11"
"810","13","13","13"
"812","12","12","12"
"814","20","20","20"
"816","18","18","18"
"820","15","15","15"
"824","3","3","3"
"834","14","14","14"
"842","14","14","14"
"846","12","12","12"
"852","8","8","8"
"854","14","14","14"
"856","19","19","19"
"858","11","11","11"
"860","13","13","13"
"862","16","16","16"
"870","20","20","20"
"872","7","7","7"
"876","10","10","10"
"880","11","11","11"
"882","14","14","14"
"886","16","16","16"
"898","12","12","12"
"904","13","13","13"
