"Step","still-disco-8 - info/epochs","still-disco-8 - info/epochs__MIN","still-disco-8 - info/epochs__MAX"
"302","1","1","1"
"306","2","2","2"
"626","3","3","3"
"630","4","4","4"
"921","5","5","5"
"925","6","6","6"
"956","7","7","7"
"1273","8","8","8"
"1277","9","9","9"
"1590","10","10","10"
"1594","11","11","11"
"1605","12","12","12"
"1926","13","13","13"
"1930","14","14","14"
"2252","15","15","15"
"2256","16","16","16"
"2522","17","17","17"
"2526","18","18","18"
"2580","19","19","19"
"2899","20","20","20"
"2903","21","21","21"
"3182","22","22","22"
"3186","23","23","23"
"3229","24","24","24"
"3548","25","25","25"
"3552","26","26","26"
"3845","27","27","27"
"3849","28","28","28"
"3883","29","29","29"
"4201","30","30","30"
"4205","31","31","31"
"4505","32","32","32"
"4509","33","33","33"
"4529","34","34","34"
"4848","35","35","35"
"4852","36","36","36"
"5166","37","37","37"
"5170","38","38","38"
"5179","39","39","39"
"5498","40","40","40"
"5502","41","41","41"
"5822","42","42","42"
"5826","43","43","43"
"6094","44","44","44"
"6098","45","45","45"
"6157","46","46","46"
"6475","47","47","47"
"6479","48","48","48"
"6755","49","49","49"
"6759","50","50","50"
"6802","51","51","51"
"7120","52","52","52"
"7124","53","53","53"
"7414","54","54","54"
"7418","55","55","55"
"7451","56","56","56"
"7770","57","57","57"
"7774","58","58","58"
"8074","59","59","59"
"8078","60","60","60"
"8101","61","61","61"
"8418","62","62","62"
"8422","63","63","63"
"8739","64","64","64"
"8743","65","65","65"
"8752","66","66","66"
"9069","67","67","67"
"9073","68","68","68"
"9392","69","69","69"
"9396","70","70","70"
"9662","71","71","71"
"9666","72","72","72"
"9723","73","73","73"
"10043","74","74","74"
"10047","75","75","75"
"10321","76","76","76"
"10325","77","77","77"
"10374","78","78","78"
"10686","79","79","79"
"10690","80","80","80"
"10981","81","81","81"
"10985","82","82","82"
"11022","83","83","83"
"11339","84","84","84"
"11343","85","85","85"
"11645","86","86","86"
"11649","87","87","87"
"11669","88","88","88"
"11989","89","89","89"
"11993","90","90","90"
"12305","91","91","91"
"12309","92","92","92"
"12316","93","93","93"
"12634","94","94","94"
"12638","95","95","95"
"12956","96","96","96"
"12960","97","97","97"
"13229","98","98","98"
"13233","99","99","99"
"13282","100","100","100"
"13606","101","101","101"
"13610","102","102","102"
"13894","103","103","103"
"13898","104","104","104"
"13936","105","105","105"
"14255","106","106","106"
"14259","107","107","107"
"14552","108","108","108"
"14556","109","109","109"
"14586","110","110","110"
"14906","111","111","111"
"14910","112","112","112"
"15214","113","113","113"
"15218","114","114","114"
"15236","115","115","115"
"15551","116","116","116"
"15555","117","117","117"
"15874","118","118","118"
"15878","119","119","119"
"15882","120","120","120"
"16205","121","121","121"
"16209","122","122","122"
"16529","123","123","123"
"16533","124","124","124"
"16802","125","125","125"
"16806","126","126","126"
"16861","127","127","127"
"17181","128","128","128"
"17185","129","129","129"
"17461","130","130","130"
"17465","131","131","131"
"17511","132","132","132"
"17826","133","133","133"
"17830","134","134","134"
"18121","135","135","135"
"18125","136","136","136"
"18155","137","137","137"
"18477","138","138","138"
"18481","139","139","139"
"18786","140","140","140"
"18790","141","141","141"
"18808","142","142","142"
"19127","143","143","143"
"19131","144","144","144"
"19445","145","145","145"
"19449","146","146","146"
"19458","147","147","147"
"19778","148","148","148"
"19782","149","149","149"
"20099","150","150","150"
"20103","151","151","151"
"20369","152","152","152"
"20373","153","153","153"
"20430","154","154","154"
"20754","155","155","155"
"20758","156","156","156"
"21033","157","157","157"
"21037","158","158","158"
"21083","159","159","159"
"21402","160","160","160"
"21406","161","161","161"
"21694","162","162","162"
"21698","163","163","163"
"21733","164","164","164"
"22053","165","165","165"
"22057","166","166","166"
"22354","167","167","167"
"22358","168","168","168"
