"Step","still-disco-8 - global_step","still-disco-8 - global_step__MIN","still-disco-8 - global_step__MAX"
"302","1","1","1"
"303","54","54","54"
"304","54","54","54"
"305","54","54","54"
"306","16384","16384","16384"
"307","16384","16384","16384"
"308","16384","16384","16384"
"625","16384","16384","16384"
"626","32768","32768","32768"
"627","32768","32768","32768"
"628","32768","32768","32768"
"629","32768","32768","32768"
"630","49152","49152","49152"
"631","49152","49152","49152"
"632","49152","49152","49152"
"920","49152","49152","49152"
"921","65536","65536","65536"
"922","65536","65536","65536"
"923","65536","65536","65536"
"924","65536","65536","65536"
"925","81920","81920","81920"
"926","81920","81920","81920"
"927","81920","81920","81920"
"955","81920","81920","81920"
"956","98304","98304","98304"
"957","98304","98304","98304"
"958","98304","98304","98304"
"1272","98304","98304","98304"
"1273","114688","114688","114688"
"1274","114688","114688","114688"
"1275","114688","114688","114688"
"1276","114688","114688","114688"
"1277","131072","131072","131072"
"1278","131072","131072","131072"
"1279","131072","131072","131072"
"1589","131072","131072","131072"
"1590","147456","147456","147456"
"1591","147456","147456","147456"
"1592","147456","147456","147456"
"1593","147456","147456","147456"
"1594","163840","163840","163840"
"1595","163840","163840","163840"
"1596","163840","163840","163840"
"1604","163840","163840","163840"
"1605","180224","180224","180224"
"1606","180224","180224","180224"
"1607","180224","180224","180224"
"1925","180224","180224","180224"
"1926","196608","196608","196608"
"1927","196608","196608","196608"
"1928","196608","196608","196608"
"1929","196608","196608","196608"
"1930","212992","212992","212992"
"1931","212992","212992","212992"
"1932","212992","212992","212992"
"2251","212992","212992","212992"
"2252","229376","229376","229376"
"2253","229376","229376","229376"
"2254","229376","229376","229376"
"2255","229376","229376","229376"
"2256","245760","245760","245760"
"2257","245760","245760","245760"
"2258","245760","245760","245760"
"2521","245760","245760","245760"
"2522","262144","262144","262144"
"2523","262144","262144","262144"
"2524","262144","262144","262144"
"2525","262144","262144","262144"
"2526","278528","278528","278528"
"2527","278528","278528","278528"
"2528","278528","278528","278528"
"2579","278528","278528","278528"
"2580","294912","294912","294912"
"2581","294912","294912","294912"
"2582","294912","294912","294912"
"2898","294912","294912","294912"
"2899","311296","311296","311296"
"2900","311296","311296","311296"
"2901","311296","311296","311296"
"2902","311296","311296","311296"
"2903","327680","327680","327680"
"2904","327680","327680","327680"
"2905","327680","327680","327680"
"3181","327680","327680","327680"
"3182","344064","344064","344064"
"3183","344064","344064","344064"
"3184","344064","344064","344064"
"3185","344064","344064","344064"
"3186","360448","360448","360448"
"3187","360448","360448","360448"
"3188","360448","360448","360448"
"3228","360448","360448","360448"
"3229","376832","376832","376832"
"3230","376832","376832","376832"
"3231","376832","376832","376832"
"3547","376832","376832","376832"
"3548","393216","393216","393216"
"3549","393216","393216","393216"
"3550","393216","393216","393216"
