"Step","still-disco-8 - Success Rate","still-disco-8 - Success Rate__MIN","still-disco-8 - Success Rate__MAX"
"281","0","0","0"
"598","0","0","0"
"936","0","0","0"
"1294","0","0","0"
"1692","0","0","0"
"2220","0","0","0"
"3606","0","0","0"
"6056","0.0014634146355092525","0.0014634146355092525","0.0014634146355092525"
"8542","0.01220703125","0.01220703125","0.01220703125"
"11014","0.027818448841571808","0.027818448841571808","0.027818448841571808"
"13470","0.03125","0.03125","0.03125"
"15908","0.04243902489542961","0.04243902489542961","0.04243902489542961"
"18296","0.138671875","0.138671875","0.138671875"
"20658","0.19804878532886505","0.19804878532886505","0.19804878532886505"
"22988","0.2654953598976135","0.2654953598976135","0.2654953598976135"
"25252","0.3310546875","0.3310546875","0.3310546875"
"27458","0.3987310826778412","0.3987310826778412","0.3987310826778412"
"29544","0.5078048706054688","0.5078048706054688","0.5078048706054688"
"31574","0.5556640625","0.5556640625","0.5556640625"
"33468","0.7152608633041382","0.7152608633041382","0.7152608633041382"
"35250","0.81396484375","0.81396484375","0.81396484375"
"36910","0.853515625","0.853515625","0.853515625"
