"Step","visionary-plant-6 - step_crash","visionary-plant-6 - step_crash__MIN","visionary-plant-6 - step_crash__MAX"
"6","256","256","256"
"13","0","0","0"
"20","0","0","0"
"27","0","0","0"
"34","0","0","0"
"41","0","0","0"
"48","0","0","0"
"55","1","1","1"
"62","3","3","3"
"69","2","2","2"
"76","3","3","3"
"83","5","5","5"
"90","11","11","11"
"97","5","5","5"
"104","10","10","10"
"111","7","7","7"
"118","9","9","9"
"125","6","6","6"
"132","9","9","9"
"139","6","6","6"
"146","14","14","14"
"153","9","9","9"
"160","12","12","12"
"167","11","11","11"
"174","11","11","11"
"181","5","5","5"
"188","15","15","15"
"195","11","11","11"
"202","17","17","17"
"209","13","13","13"
"216","12","12","12"
"223","6","6","6"
"230","11","11","11"
"237","12","12","12"
"244","10","10","10"
"251","10","10","10"
"258","4","4","4"
"265","8","8","8"
"272","12","12","12"
"279","4","4","4"
"286","11","11","11"
"293","10","10","10"
"300","18","18","18"
"307","10","10","10"
"314","11","11","11"
"321","13","13","13"
"328","10","10","10"
"335","8","8","8"
"342","13","13","13"
"349","8","8","8"
"356","13","13","13"
"363","7","7","7"
"370","13","13","13"
"377","10","10","10"
"384","7","7","7"
"391","10","10","10"
"398","9","9","9"
"405","11","11","11"
"412","5","5","5"
"419","9","9","9"
"426","10","10","10"
"433","19","19","19"
"440","5","5","5"
"447","12","12","12"
"454","6","6","6"
"461","7","7","7"
"468","11","11","11"
"475","7","7","7"
"482","14","14","14"
"489","10","10","10"
"496","9","9","9"
"503","16","16","16"
"510","10","10","10"
"517","8","8","8"
"524","10","10","10"
"531","11","11","11"
"538","5","5","5"
"545","8","8","8"
"552","14","14","14"
"559","8","8","8"
"566","16","16","16"
"573","11","11","11"
"580","7","7","7"
"587","10","10","10"
"594","11","11","11"
"601","8","8","8"
"608","7","7","7"
"615","8","8","8"
"622","11","11","11"
"629","11","11","11"
"636","7","7","7"
"643","7","7","7"
"650","9","9","9"
"657","7","7","7"
"664","8","8","8"
"671","12","12","12"
"678","10","10","10"
"685","10","10","10"
"692","11","11","11"
"699","9","9","9"
"706","5","5","5"
"713","7","7","7"
"720","9","9","9"
"727","5","5","5"
"734","7","7","7"
"741","12","12","12"
"748","10","10","10"
"755","11","11","11"
"762","9","9","9"
"769","14","14","14"
"776","15","15","15"
"783","15","15","15"
"790","6","6","6"
"797","10","10","10"
"804","8","8","8"
"811","7","7","7"
"818","9","9","9"
"825","9","9","9"
"832","11","11","11"
"839","7","7","7"
"846","7","7","7"
"853","11","11","11"
"860","4","4","4"
"867","13","13","13"
"874","6","6","6"
"881","6","6","6"
"888","5","5","5"
"895","10","10","10"
"902","12","12","12"
"909","10","10","10"
"916","9","9","9"
"923","7","7","7"
"930","8","8","8"
"937","10","10","10"
"944","7","7","7"
"951","11","11","11"
"958","10","10","10"
"965","10","10","10"
"972","8","8","8"
"979","11","11","11"
"986","9","9","9"
"993","9","9","9"
"1000","14","14","14"
"1007","5","5","5"
"1014","8","8","8"
"1021","6","6","6"
"1028","8","8","8"
"1035","10","10","10"
"1049","7","7","7"
"1056","11","11","11"
"1063","10","10","10"
"1070","9","9","9"
"1077","8","8","8"
"1084","6","6","6"
"1091","15","15","15"
"1098","8","8","8"
"1105","8","8","8"
"1112","8","8","8"
"1119","15","15","15"
"1126","9","9","9"
"1133","11","11","11"
"1140","7","7","7"
"1147","8","8","8"
"1154","11","11","11"
"1161","5","5","5"
"1168","6","6","6"
"1175","6","6","6"
"1182","8","8","8"
"1189","9","9","9"
"1196","12","12","12"
"1203","10","10","10"
"1210","5","5","5"
"1217","9","9","9"
"1224","13","13","13"
"1231","5","5","5"
"1238","11","11","11"
"1245","16","16","16"
"1252","8","8","8"
"1259","15","15","15"
"1266","10","10","10"
"1273","7","7","7"
"1280","10","10","10"
"1287","9","9","9"
"1294","10","10","10"
"1301","8","8","8"
"1308","10","10","10"
"1315","12","12","12"
"1322","8","8","8"
"1329","5","5","5"
"1336","10","10","10"
"1343","13","13","13"
"1350","9","9","9"
"1357","5","5","5"
"1364","8","8","8"
"1371","6","6","6"
"1378","15","15","15"
"1385","12","12","12"
